Start	End	Cen
0	6	0
6	13	9
13	30	25
30	36	33
36	49	45
49	67	54
67	74	70
74	94	85
94	101	100
101	110	106
110	118	117
118	138	132
138	151	148
151	167	158
167	176	172
176	191	182
191	204	200
204	216	207
216	225	222
225	239	229
239	246	243
246	263	253
263	271	268
271	279	275
279	288	284
288	305	293
305	314	310
314	333	326
333	350	343
350	358	354
358	371	363
371	379	376
379	391	385
391	401	395
401	410	406
410	417	414
417	425	421
425	451	430
451	458	454
458	466	461
466	479	475
479	492	484
492	501	496
501	509	505
509	521	513
521	534	525
534	540	537
540	551	547
551	558	554
558	573	565
573	582	578
582	589	585
589	607	597
607	618	612
618	634	624
634	640	637
640	657	644
657	665	661
665	677	668
677	685	681
685	699	690
699	712	703
712	723	717
723	730	727
730	739	733
739	751	742
751	762	757
762	770	767
770	780	773
780	790	787
790	800	795
800	820	805
820	832	827
832	840	836
840	851	844
851	860	856
860	876	865
876	884	879
884	893	889
893	904	897
904	915	909
915	924	920
924	932	928
932	943	939
943	952	947
952	960	956
960	976	969
976	983	980
983	996	988
996	1014	1003
1014	1031	1023
1031	1052	1041
1052	1068	1065
1068	1079	1073
1079	1098	1090
1098	1109	1105
1109	1117	1112
1117	1127	1121
1127	1139	1132
1139	1156	1149
1156	1174	1166
1174	1180	1177
1180	1190	1187
1190	1207	1202
1207	1218	1211
1218	1225	1222
1225	1234	1231
1234	1242	1238
1242	1253	1248
1253	1260	1256
1260	1275	1270
1275	1284	1280
1284	1295	1288
1295	1309	1299
1309	1316	1312
1316	1336	1327
1336	1348	1341
1348	1357	1352
1357	1365	1362
1365	1373	1369
1373	1391	1387
1391	1401	1397
1401	1410	1405
1410	1417	1414
1417	1424	1421
1424	1435	1431
1435	1447	1444
1447	1461	1454
1461	1469	1464
1469	1479	1474
1479	1488	1484
1488	1497	1491
1497	1504	1500
1504	1518	1509
1518	1528	1524
1528	1539	1532
1546	1554	1551
1554	1570	1558
1570	1586	1577
1586	1603	1596
1603	1623	1613
1623	1629	1625
1629	1642	1637
1642	1651	1647
1651	1669	1664
1669	1679	1675
1679	1691	1688
1691	1702	1698
1702	1711	1708
1711	1716	1714
1716	1733	1723
1733	1739	1736
1739	1748	1743
1748	1755	1751
1755	1761	1759
1761	1764	1765
1764	1780	1773
1780	1792	1785
1796	1808	1800
1833	1845	1841
1906	1916	1910
1916	1932	1924
1932	1938	1935
1938	1944	1941
1944	1959	1947
1959	1979	1972
1979	1994	1989
1994	2003	1997
2003	2023	2012
2023	2037	2028
2037	2049	2044
2049	2060	2054
2060	2068	2063
2068	2084	2080
2084	2091	2087
2091	2109	2103
2109	2123	2121
2123	2134	2127
2134	2144	2138
