from.id	from.cord	to.id	to.cord
0	0	36	1800000
37	1850000	67	3350000
68	3400000	100	5000000
102	5100000	217	10850000
218	10900000	239	11950000
240	12000000	315	15750000
316	15800000	341	17050000
344	17200000	362	18100000
365	18250000	369	18450000
370	18500000	373	18650000
374	18700000	376	18800000
377	18850000	382	19100000
384	19200000	390	19500000
391	19550000	394	19700000
395	19750000	403	20150000
405	20250000	408	20400000
409	20450000	415	20750000
416	20800000	422	21100000
425	21250000	427	21350000
430	21500000	432	21600000
436	21800000	441	22050000
444	22200000	468	23400000
469	23450000	471	23550000
472	23600000	480	24000000
481	24050000	483	24150000
485	24250000	508	25400000
514	25700000	516	25800000
518	25900000	520	26000000
522	26100000	531	26550000
532	26600000	538	26900000
540	27000000	543	27150000
544	27200000	567	28350000
569	28450000	576	28800000
579	28950000	582	29100000
584	29200000	607	30350000
608	30400000	619	30950000
620	31000000	655	32750000
656	32800000	677	33850000
678	33900000	731	36550000
732	36600000	748	37400000
749	37450000	781	39050000
782	39100000	841	42050000
842	42100000	852	42600000
853	42650000	860	43000000
861	43050000	884	44200000
885	44250000	917	45850000
918	45900000	975	48750000
976	48800000	1014	50700000
1015	50750000	1275	63750000
1276	63800000	1295	64750000
1296	64800000	1317	65850000
1318	65900000	1332	66600000
1333	66650000	1366	68300000
1367	68350000	1410	70500000
1411	70550000	1425	71250000
1426	71300000	1479	73950000
1480	74000000	1494	74700000
1495	74750000	1519	75950000
1520	76000000	1603	80150000
1604	80200000	1743	87150000
1745	87250000	1752	87600000
1754	87700000	1792	89600000
1796	89800000	1805	90250000
1807	90350000	1809	90450000
1831	91550000	1846	92300000
1906	95300000	1958	97900000
1960	98000000	2156	107800000
2157	107850000	2200	110000000
2205	110250000	2210	110500000
2214	110700000	2224	111200000
2227	111350000	2239	111950000
2240	112000000	2389	119450000
2390	119500000	2465	123250000
2466	123300000	2473	123650000
2474	123700000	2487	124350000
2488	124400000	2503	125150000
2504	125200000	2732	136600000
2736	136800000	2787	139350000
2788	139400000	2837	141850000
2838	141900000	2866	143300000
2867	143350000	2886	144300000
2887	144350000	2970	148500000
2971	148550000	2993	149650000
2995	149750000	3001	150050000
3002	150100000	3044	152200000
3045	152250000	3089	154450000
3091	154550000	3104	155200000
3105	155250000	3167	158350000
3168	158400000	3261	163050000
3262	163100000	3340	167000000
3341	167050000	3363	168150000
3364	168200000	3372	168600000
3373	168650000	3406	170300000
3407	170350000	3435	171750000
3437	171850000	3440	172000000
3441	172050000	3479	173950000
3480	174000000	3497	174850000
3498	174900000	3530	176500000
3531	176550000	3563	178150000
3564	178200000	3601	180050000
3602	180100000	3616	180800000
3617	180850000	3671	183550000
3672	183600000	3685	184250000
3686	184300000	3714	185700000
3715	185750000	3734	186700000
3735	186750000	3755	187750000
3756	187800000	3767	188350000
3768	188400000	3776	188800000
3777	188850000	3800	190000000
3801	190050000	3818	190900000
3819	190950000	3842	192100000
3843	192150000	3956	197800000
3957	197850000	4034	201700000
4035	201750000	4136	206800000
4137	206850000	4148	207400000
4149	207450000	4189	209450000
4190	209500000	4198	209900000
4199	209950000	4226	211300000
4227	211350000	4233	211650000
4234	211700000	4506	225300000
4507	225350000	4553	227650000
4554	227700000	4766	238300000
