"start" "end"
"1" 25000 1875000
"2" 1875000 3775000
"3" 3775000 5425000
"4" 5425000 7175000
"5" 7175000 8925000
"6" 8925000 10825000
"7" 10825000 11875000
"8" 11875000 13225000
"9" 13225000 14475000
"10" 14475000 15675000
"11" 15675000 16925000
"12" 16925000 17975000
"13" 17975000 18475000
"14" 18475000 24025000
"15" 24025000 25475000
"16" 25475000 25925000
"17" 25925000 27675000
"18" 27675000 29075000
"19" 29075000 30375000
"20" 30375000 30825000
"21" 30825000 32625000
"22" 32625000 33925000
"23" 33925000 35775000
"24" 35775000 37275000
"25" 37275000 39925000
"26" 39925000 42075000
"27" 42075000 42675000
"28" 42675000 44075000
"29" 44075000 45825000
"30" 45825000 47625000
"31" 47625000 50725000
"32" 50725000 52275000
"33" 52275000 54025000
"34" 54025000 55825000
"35" 55825000 57825000
"36" 57825000 60925000
"37" 60925000 62175000
"38" 62175000 65775000
"39" 65775000 66625000
"40" 66625000 68325000
"41" 68325000 70475000
"42" 70475000 73325000
"43" 73325000 74725000
"44" 74725000 75975000
"45" 75975000 77775000
"46" 77775000 80875000
"47" 80875000 82525000
"48" 82525000 85225000
"49" 85225000 86375000
"50" 96625000 97975000
"51" 97975000 99925000
"52" 99925000 101125000
"53" 101125000 101875000
"54" 101875000 105525000
"55" 105525000 107275000
"56" 107275000 108875000
"57" 108875000 109325000
"58" 109325000 112625000
"59" 112625000 113675000
"60" 113675000 114225000
"61" 114225000 118575000
"62" 118575000 120275000
"63" 120275000 122525000
"64" 122525000 124675000
"65" 124675000 127725000
"66" 127725000 128875000
"67" 128875000 130725000
"68" 130725000 133025000
"69" 133025000 134625000
"70" 134625000 135325000
"71" 135325000 135625000
"72" 135625000 136725000
"73" 136725000 137175000
"74" 137175000 138525000
"75" 138525000 139725000
"76" 139725000 141075000
"77" 141075000 143975000
"78" 143975000 145275000
"79" 145275000 147475000
"80" 147475000 148725000
"81" 148725000 150375000
"82" 150375000 152275000
"83" 152275000 153575000
"84" 153575000 156025000
"85" 156025000 157075000
"86" 157075000 158225000
"87" 158225000 159675000
"88" 159675000 160825000
"89" 160825000 162125000
"90" 162125000 163425000
"91" 163425000 163925000
"92" 163925000 165425000
"93" 165425000 168675000
"94" 168675000 170125000
"95" 170125000 171775000
"96" 171775000 173525000
"97" 173525000 175325000
"98" 175325000 176975000
"99" 176975000 177625000
"100" 177625000 178775000
"101" 178775000 179575000
"102" 179575000 180875000
"103" 180875000 184075000
"104" 184075000 188325000
"105" 188325000 189375000
"106" 189375000 190475000
"107" 190475000 191875000
"108" 191875000 196925000
"109" 196925000 199125000
"110" 199125000 201725000
"111" 201725000 203225000
"112" 203225000 204925000
"113" 204925000 206875000
"114" 206875000 209125000
"115" 209125000 210275000
"116" 210275000 211325000
"117" 211325000 212425000
"118" 212425000 213525000
"119" 213525000 214125000
"120" 214125000 216025000
"121" 216025000 220525000
"122" 220525000 223525000
"123" 223525000 224825000
"124" 224825000 225475000
"125" 225475000 226475000
"126" 226475000 227925000
"127" 227925000 230575000
"128" 230575000 231825000
"129" 231825000 232425000
"130" 232425000 233475000
"131" 233475000 234775000
"132" 234775000 236075000
"133" 236075000 236725000
"134" 236725000 238025000
"135" 238025000 239225000
"136" 239225000 243125000
