from.id	from.cord	to.id	to.cord
0	0	100	5000000
103	5150000	140	7000000
141	7050000	216	10800000
217	10850000	240	12000000
241	12050000	315	15750000
316	15800000	372	18600000
373	18650000	580	29000000
581	29050000	607	30350000
608	30400000	642	32100000
643	32150000	653	32650000
654	32700000	677	33850000
678	33900000	745	37250000
746	37300000	791	39550000
792	39600000	838	41900000
839	41950000	860	43000000
861	43050000	883	44150000
884	44200000	953	47650000
954	47700000	973	48650000
974	48700000	1015	50750000
1016	50800000	1218	60900000
1219	60950000	1283	64150000
1284	64200000	1316	65800000
1317	65850000	1367	68350000
1368	68400000	1410	70500000
1411	70550000	1464	73200000
1465	73250000	1518	75900000
1519	75950000	1711	85550000
1712	85600000	1741	87050000
1766	88300000	1785	89250000
1910	95500000	1921	96050000
1926	96300000	1928	96400000
1934	96700000	1953	97650000
1965	98250000	1982	99100000
1983	99150000	1988	99400000
1990	99500000	2000	100000000
2002	100100000	2009	100450000
2011	100550000	2014	100700000
2015	100750000	2021	101050000
2025	101250000	2030	101500000
2033	101650000	2035	101750000
2036	101800000	2044	102200000
2045	102250000	2047	102350000
2048	102400000	2065	103250000
2067	103350000	2094	104700000
2095	104750000	2100	105000000
2102	105100000	2121	106050000
2123	106150000	2128	106400000
2142	107100000	2168	108400000
2171	108550000	2202	110100000
2205	110250000	2209	110450000
2217	110850000	2219	110950000
2228	111400000	2240	112000000
2247	112350000	2249	112450000
2252	112600000	2261	113050000
2264	113200000	2283	114150000
2288	114400000	2310	115500000
2311	115550000	2332	116600000
2335	116750000	2337	116850000
2338	116900000	2480	124000000
2481	124050000	2536	126800000
2537	126850000	2585	129250000
2586	129300000	2614	130700000
2620	131000000	2622	131100000
2629	131450000	2638	131900000
2643	132150000	2646	132300000
2660	133000000	2663	133150000
2664	133200000	2948	147400000
2949	147450000	2993	149650000
2996	149800000	3012	150600000
3013	150650000	3089	154450000
3090	154500000	3169	158450000
3170	158500000	3214	160700000
3217	160850000	3262	163100000
3263	163150000	3344	167200000
3345	167250000	3382	169100000
3383	169150000	3480	174000000
3481	174050000	3562	178100000
3563	178150000	3616	180800000
3617	180850000	3656	182800000
3657	182850000	3666	183300000
3667	183350000	3729	186450000
3730	186500000	3833	191650000
3834	191700000	3859	192950000
3860	193000000	3880	194000000
3881	194050000	3902	195100000
3903	195150000	3947	197350000
3948	197400000	4010	200500000
4011	200550000	4052	202600000
4053	202650000	4175	208750000
4176	208800000	4229	211450000
4230	211500000	4283	214150000
4284	214200000	4316	215800000
4317	215850000	4358	217900000
4359	217950000	4625	231250000
4626	231300000	4638	231900000
