"start" "end"
"1" 25000 1825000
"2" 1825000 3775000
"3" 3775000 5575000
"4" 5575000 7075000
"5" 7075000 8925000
"6" 8925000 10825000
"7" 10825000 11925000
"8" 11925000 13225000
"9" 13225000 15725000
"10" 15725000 16875000
"11" 16875000 18575000
"12" 18575000 20075000
"13" 20075000 22575000
"14" 22575000 24025000
"15" 24025000 27775000
"16" 27775000 29125000
"17" 29125000 30375000
"18" 30375000 31875000
"19" 31875000 33925000
"20" 33925000 37125000
"21" 37125000 39225000
"22" 39225000 39975000
"23" 39975000 44025000
"24" 44025000 45225000
"25" 45225000 45925000
"26" 45925000 47575000
"27" 47575000 48825000
"28" 48825000 50775000
"29" 50775000 52025000
"30" 52025000 54075000
"31" 54075000 55875000
"32" 55875000 57825000
"33" 57825000 60925000
"34" 60925000 62175000
"35" 62175000 62575000
"36" 62575000 65775000
"37" 65775000 68375000
"38" 68375000 70525000
"39" 70525000 71725000
"40" 71725000 74775000
"41" 74775000 75875000
"42" 75875000 77075000
"43" 77075000 79275000
"44" 79275000 80225000
"45" 80225000 81525000
"46" 81525000 83475000
"47" 83475000 86325000
"48" 96575000 97975000
"49" 97975000 99225000
"50" 99225000 100075000
"51" 100075000 101675000
"52" 101675000 103425000
"53" 103425000 104525000
"54" 104525000 105775000
"55" 105775000 107175000
"56" 107175000 112575000
"57" 112575000 114275000
"58" 114275000 117125000
"59" 117125000 118675000
"60" 118675000 124775000
"61" 124775000 126425000
"62" 126425000 127775000
"63" 127775000 128925000
"64" 128925000 130775000
"65" 130775000 134575000
"66" 134575000 135675000
"67" 135675000 137175000
"68" 137175000 138575000
"69" 138575000 139675000
"70" 139675000 141575000
"71" 141575000 142725000
"72" 142725000 143825000
"73" 143825000 145875000
"74" 145875000 147475000
"75" 147475000 148675000
"76" 148675000 149925000
"77" 149925000 150425000
"78" 150425000 152225000
"79" 152225000 153575000
"80" 153575000 155175000
"81" 155175000 156225000
"82" 156225000 158075000
"83" 158075000 159675000
"84" 159675000 160875000
"85" 160875000 162025000
"86" 162025000 163925000
"87" 163925000 165425000
"88" 165425000 167225000
"89" 167225000 168975000
"90" 168975000 171825000
"91" 171825000 172375000
"92" 172375000 173625000
"93" 173625000 175375000
"94" 175375000 176975000
"95" 176975000 178725000
"96" 178725000 180825000
"97" 180825000 181975000
"98" 181975000 182925000
"99" 182925000 185075000
"100" 185075000 186175000
"101" 186175000 187425000
"102" 187425000 188375000
"103" 188375000 189375000
"104" 189375000 190425000
"105" 190425000 191825000
"106" 191825000 192425000
"107" 192425000 194525000
"108" 194525000 196925000
"109" 196925000 200575000
"110" 200575000 201775000
"111" 201775000 203175000
"112" 203175000 206875000
"113" 206875000 208425000
"114" 208425000 209125000
"115" 209125000 211225000
"116" 211225000 213475000
"117" 213475000 216925000
"118" 216925000 218775000
"119" 218775000 220525000
"120" 220525000 222725000
"121" 222725000 223575000
"122" 223575000 224725000
"123" 224725000 226525000
"124" 226525000 227875000
"125" 227875000 228775000
"126" 228775000 230575000
"127" 230575000 232375000
"128" 232375000 233425000
"129" 233425000 234675000
"130" 234675000 236075000
"131" 236075000 236675000
"132" 236675000 237125000
"133" 237125000 238125000
"134" 238125000 243125000
