"start" "end"
"1" 25000 1875000
"2" 1875000 2475000
"3" 2475000 3825000
"4" 3825000 5575000
"5" 5575000 8925000
"6" 8925000 10825000
"7" 10825000 11875000
"8" 11875000 13175000
"9" 13175000 15225000
"10" 15225000 15725000
"11" 15725000 16825000
"12" 16825000 18575000
"13" 18575000 20075000
"14" 20075000 23975000
"15" 23975000 25375000
"16" 25375000 25925000
"17" 25925000 26775000
"18" 26775000 27775000
"19" 27775000 29025000
"20" 29025000 30375000
"21" 30375000 30825000
"22" 30825000 31775000
"23" 31775000 32825000
"24" 32825000 34025000
"25" 34025000 35625000
"26" 35625000 37075000
"27" 37075000 39075000
"28" 39075000 39475000
"29" 39475000 42025000
"30" 42025000 42875000
"31" 42875000 44075000
"32" 44075000 45825000
"33" 45825000 47125000
"34" 47125000 47575000
"35" 47575000 48825000
"36" 48825000 50825000
"37" 50825000 54025000
"38" 54025000 55875000
"39" 55875000 57725000
"40" 57725000 59025000
"41" 59025000 60925000
"42" 60925000 62125000
"43" 62125000 62625000
"44" 62625000 63975000
"45" 63975000 65875000
"46" 65875000 68275000
"47" 68275000 69475000
"48" 69475000 70525000
"49" 70525000 71225000
"50" 71225000 71725000
"51" 71725000 73375000
"52" 73375000 74825000
"53" 74825000 75925000
"54" 75925000 77025000
"55" 77025000 78075000
"56" 78075000 79325000
"57" 79325000 80275000
"58" 80275000 81375000
"59" 81375000 82375000
"60" 82375000 84575000
"61" 84575000 85675000
"62" 96575000 97975000
"63" 97975000 100075000
"64" 100075000 101775000
"65" 101775000 103325000
"66" 103325000 107225000
"67" 107225000 108775000
"68" 108775000 109375000
"69" 109375000 112625000
"70" 112625000 113725000
"71" 113725000 118675000
"72" 118675000 120175000
"73" 120175000 121125000
"74" 121125000 122725000
"75" 122725000 124225000
"76" 124225000 127775000
"77" 127775000 129075000
"78" 129075000 130725000
"79" 130725000 134525000
"80" 134525000 135625000
"81" 135625000 136625000
"82" 136625000 137225000
"83" 137225000 138575000
"84" 138575000 139725000
"85" 139725000 141725000
"86" 141725000 142825000
"87" 142825000 145675000
"88" 145675000 146575000
"89" 146575000 147475000
"90" 147475000 148725000
"91" 148725000 150425000
"92" 150425000 152225000
"93" 152225000 153625000
"94" 153625000 155075000
"95" 155075000 156275000
"96" 156275000 158075000
"97" 158075000 159725000
"98" 159725000 160925000
"99" 160925000 162075000
"100" 162075000 163225000
"101" 163225000 163925000
"102" 163925000 165425000
"103" 165425000 167175000
"104" 167175000 168975000
"105" 168975000 171775000
"106" 171775000 172375000
"107" 172375000 173625000
"108" 173625000 175425000
"109" 175425000 176975000
"110" 176975000 177525000
"111" 177525000 178775000
"112" 178775000 180775000
"113" 180775000 181875000
"114" 181875000 182875000
"115" 182875000 184025000
"116" 184025000 186025000
"117" 186025000 187475000
"118" 187475000 188475000
"119" 188475000 189275000
"120" 189275000 190425000
"121" 190425000 191875000
"122" 191875000 193125000
"123" 193125000 194875000
"124" 194875000 196225000
"125" 196225000 199175000
"126" 199175000 200575000
"127" 200575000 201675000
"128" 201675000 203175000
"129" 203175000 204825000
"130" 204825000 206925000
"131" 206925000 209075000
"132" 209075000 210325000
"133" 210325000 211275000
"134" 211275000 213575000
"135" 213575000 216175000
"136" 216175000 217025000
"137" 217025000 220425000
"138" 220425000 222625000
"139" 222625000 223675000
"140" 223675000 224675000
"141" 224675000 228025000
"142" 228025000 228775000
"143" 228775000 230625000
"144" 230625000 232475000
"145" 232475000 233425000
"146" 233425000 234775000
"147" 234775000 236675000
"148" 236675000 237125000
"149" 237125000 238125000
"150" 238125000 241725000
"151" 241725000 243125000
