from.id	from.cord	to.id	to.cord
0	0	100	5000000
103	5150000	141	7050000
142	7100000	216	10800000
217	10850000	239	11950000
240	12000000	315	15750000
316	15800000	373	18650000
374	18700000	574	28700000
575	28750000	607	30350000
608	30400000	641	32050000
642	32100000	652	32600000
653	32650000	677	33850000
678	33900000	686	34300000
687	34350000	741	37050000
742	37100000	746	37300000
747	37350000	782	39100000
783	39150000	860	43000000
861	43050000	880	44000000
881	44050000	917	45850000
918	45900000	975	48750000
976	48800000	1017	50850000
1018	50900000	1155	57750000
1156	57800000	1219	60950000
1220	61000000	1234	61700000
1235	61750000	1302	65100000
1303	65150000	1317	65850000
1318	65900000	1367	68350000
1368	68400000	1370	68500000
1372	68600000	1410	70500000
1411	70550000	1418	70900000
1419	70950000	1425	71250000
1426	71300000	1468	73400000
1469	73450000	1518	75900000
1519	75950000	1609	80450000
1610	80500000	1743	87150000
1745	87250000	1752	87600000
1754	87700000	1760	88000000
1762	88100000	1792	89600000
1796	89800000	1805	90250000
1807	90350000	1809	90450000
1831	91550000	1846	92300000
1906	95300000	1914	95700000
1915	95750000	1931	96550000
1936	96800000	1943	97150000
1944	97200000	1950	97500000
1952	97600000	1955	97750000
1956	97800000	1960	98000000
1961	98050000	1963	98150000
1965	98250000	1967	98350000
1968	98400000	1970	98500000
1973	98650000	1980	99000000
1981	99050000	1988	99400000
2004	100200000	2006	100300000
2008	100400000	2024	101200000
2027	101350000	2030	101500000
2032	101600000	2039	101950000
2040	102000000	2042	102100000
2043	102150000	2047	102350000
2049	102450000	2051	102550000
2057	102850000	2065	103250000
2067	103350000	2081	104050000
2083	104150000	2089	104450000
2090	104500000	2092	104600000
2093	104650000	2101	105050000
2103	105150000	2107	105350000
2108	105400000	2110	105500000
2111	105550000	2115	105750000
2116	105800000	2120	106000000
2122	106100000	2125	106250000
2129	106450000	2132	106600000
2133	106650000	2146	107300000
2147	107350000	2150	107500000
2155	107750000	2202	110100000
2207	110350000	2210	110500000
2214	110700000	2222	111100000
2227	111350000	2239	111950000
2240	112000000	2389	119450000
2390	119500000	2465	123250000
2466	123300000	2496	124800000
2497	124850000	2537	126850000
2538	126900000	2648	132400000
2649	132450000	2710	135500000
2711	135550000	2808	140400000
2809	140450000	2837	141850000
2838	141900000	2888	144400000
2889	144450000	2969	148450000
2970	148500000	2993	149650000
2995	149750000	3005	150250000
3006	150300000	3044	152200000
3045	152250000	3089	154450000
3091	154550000	3104	155200000
3105	155250000	3167	158350000
3168	158400000	3259	162950000
3260	163000000	3311	165550000
3312	165600000	3369	168450000
3370	168500000	3437	171850000
3438	171900000	3500	175000000
3501	175050000	3531	176550000
3532	176600000	3542	177100000
3543	177150000	3606	180300000
3607	180350000	3670	183500000
3673	183650000	3710	185500000
3711	185550000	3734	186700000
3735	186750000	3755	187750000
3756	187800000	3776	188800000
3777	188850000	3818	190900000
3819	190950000	3905	195250000
3906	195300000	3973	198650000
3974	198700000	4049	202450000
4050	202500000	4122	206100000
4123	206150000	4159	207950000
4160	208000000	4192	209600000
4193	209650000	4232	211600000
4233	211650000	4506	225300000
4507	225350000	4559	227950000
4560	228000000	4766	238300000
