Start	End	Cen
0	6	0
6	13	9
13	30	24
30	37	33
37	50	46
50	61	54
61	74	70
74	97	91
97	101	100
101	110	106
110	117	115
117	138	127
138	145	142
145	176	165
176	185	181
185	191	188
191	204	201
204	218	208
218	225	222
225	239	228
239	250	243
250	263	259
263	275	271
275	287	279
287	293	290
293	305	298
305	314	310
314	322	319
322	333	326
333	339	336
339	351	344
351	359	354
359	372	363
372	379	376
379	391	385
391	401	396
401	411	406
411	417	414
417	431	421
431	451	438
451	459	457
459	469	464
469	479	474
479	487	484
487	501	497
501	509	505
509	521	513
521	532	525
532	545	537
545	551	548
551	558	554
558	574	563
574	582	578
582	591	587
591	606	598
606	618	612
618	640	623
640	647	644
647	677	668
677	685	681
685	711	694
711	721	716
721	730	726
730	739	734
739	752	742
752	762	756
762	770	766
770	781	777
781	790	786
790	800	794
800	809	805
809	816	811
816	832	827
832	840	836
840	852	844
852	860	856
860	869	865
869	876	871
876	884	879
884	892	889
892	903	897
903	916	910
916	924	920
924	932	928
932	943	938
943	952	947
952	960	956
960	977	969
977	997	990
997	1014	1002
1014	1030	1023
1030	1039	1035
1039	1052	1045
1052	1061	1055
1061	1071	1068
1071	1079	1075
1079	1098	1090
1098	1109	1105
1109	1117	1112
1117	1127	1122
1127	1140	1135
1140	1156	1149
1156	1174	1166
1174	1186	1177
1186	1217	1205
1217	1225	1222
1225	1242	1231
1242	1253	1248
1253	1260	1256
1260	1268	1263
1268	1275	1270
1275	1283	1279
1283	1296	1288
1296	1302	1299
1302	1316	1312
1316	1332	1325
1332	1337	1334
1337	1348	1341
1348	1355	1351
1355	1365	1362
1365	1373	1369
1373	1384	1380
1384	1391	1387
1391	1401	1397
1401	1410	1405
1410	1425	1414
1425	1435	1431
1435	1448	1439
1448	1461	1452
1461	1469	1465
1469	1477	1474
1477	1496	1484
1496	1503	1500
1503	1519	1509
1519	1528	1524
1528	1538	1532
1538	1552	1547
1552	1565	1559
1565	1577	1570
1577	1584	1580
1584	1603	1592
1603	1616	1612
1616	1633	1625
1633	1643	1637
1643	1669	1664
1669	1682	1678
1682	1691	1686
1691	1702	1698
1702	1717	1708
1717	1728	1722
1728	1746	1736
1762	1792	1787
1792	1809	1801
1834	1845	1841
1906	1912	1910
1912	1921	1917
1921	1928	1924
1928	1939	1936
1939	1961	1951
1961	1979	1971
1979	1995	1987
1995	2003	2000
2003	2023	2011
2023	2038	2028
2038	2050	2044
2050	2069	2055
2069	2097	2086
2097	2109	2104
2109	2124	2121
2124	2133	2128
2133	2144	2138
2144	2162	2152
2162	2169	2165
2169	2175	2173
2175	2189	2182
2189	2204	2198
2204	2210	2208
2216	2222	2219
2227	2250	2246
