from.id	from.cord	to.id	to.cord
0	0	79	3950000
80	4000000	100	5000000
102	5100000	217	10850000
218	10900000	239	11950000
240	12000000	315	15750000
316	15800000	373	18650000
374	18700000	580	29000000
581	29050000	607	30350000
608	30400000	642	32100000
643	32150000	654	32700000
655	32750000	677	33850000
678	33900000	740	37000000
741	37050000	801	40050000
802	40100000	840	42000000
841	42050000	860	43000000
861	43050000	883	44150000
884	44200000	926	46300000
927	46350000	975	48750000
976	48800000	1082	54100000
1083	54150000	1157	57850000
1158	57900000	1219	60950000
1220	61000000	1240	62000000
1241	62050000	1283	64150000
1284	64200000	1317	65850000
1318	65900000	1367	68350000
1368	68400000	1410	70500000
1411	70550000	1425	71250000
1426	71300000	1469	73450000
1470	73500000	1517	75850000
1518	75900000	1605	80250000
1606	80300000	1752	87600000
1754	87700000	1792	89600000
1796	89800000	1805	90250000
1807	90350000	1809	90450000
1831	91550000	1846	92300000
1906	95300000	1915	95750000
1917	95850000	1959	97950000
1967	98350000	1981	99050000
1989	99450000	1997	99850000
1998	99900000	2006	100300000
2008	100400000	2013	100650000
2014	100700000	2026	101300000
2027	101350000	2051	102550000
2052	102600000	2054	102700000
2057	102850000	2059	102950000
2062	103100000	2064	103200000
2065	103250000	2069	103450000
2071	103550000	2077	103850000
2078	103900000	2080	104000000
2089	104450000	2092	104600000
2093	104650000	2101	105050000
2103	105150000	2109	105450000
2114	105700000	2116	105800000
2119	105950000	2122	106100000
2123	106150000	2127	106350000
2129	106450000	2134	106700000
2136	106800000	2152	107600000
2153	107650000	2202	110100000
2205	110250000	2210	110500000
2215	110750000	2223	111150000
2227	111350000	2239	111950000
2240	112000000	2388	119400000
2389	119450000	2468	123400000
2469	123450000	2496	124800000
2497	124850000	2545	127250000
2546	127300000	2711	135550000
2712	135600000	2736	136800000
2737	136850000	2808	140400000
2809	140450000	2825	141250000
2826	141300000	2867	143350000
2868	143400000	2970	148500000
2971	148550000	2993	149650000
2995	149750000	2999	149950000
3000	150000000	3044	152200000
3045	152250000	3089	154450000
3091	154550000	3141	157050000
3142	157100000	3166	158300000
3167	158350000	3262	163100000
3263	163150000	3308	165400000
3309	165450000	3359	167950000
3360	168000000	3430	171500000
3431	171550000	3491	174550000
3492	174600000	3532	176600000
3533	176650000	3541	177050000
3542	177100000	3606	180300000
3607	180350000	3672	183600000
3673	183650000	3683	184150000
3684	184200000	3713	185650000
3714	185700000	3742	187100000
3743	187150000	3755	187750000
3756	187800000	3777	188850000
3778	188900000	3818	190900000
3819	190950000	3870	193500000
3871	193550000	3933	196650000
3934	196700000	4034	201700000
4035	201750000	4157	207850000
4158	207900000	4192	209600000
4193	209650000	4232	211600000
4233	211650000	4506	225300000
4507	225350000	4565	228250000
4566	228300000	4766	238300000
