Start	End	Cen
0	13	0
13	19	15
19	37	26
37	57	46
57	67	62
67	74	70
74	87	84
87	101	92
101	110	106
110	121	115
121	138	129
138	144	141
144	157	153
157	177	174
177	185	181
185	191	188
191	198	195
198	204	201
204	217	208
217	225	221
225	239	229
239	251	243
251	263	253
263	281	268
281	286	283
286	306	297
306	315	311
315	333	325
333	339	337
339	350	345
350	360	355
360	371	365
371	391	384
391	410	406
410	425	414
425	432	429
432	437	436
437	451	443
451	468	457
468	479	473
479	492	484
492	501	496
501	509	505
509	518	513
518	528	525
528	534	531
534	540	538
540	551	547
551	558	554
558	567	563
567	574	570
574	582	578
582	589	585
589	606	594
606	618	611
618	631	623
631	640	635
640	655	645
655	677	668
677	686	681
686	700	690
700	713	704
713	721	719
721	731	726
731	739	735
739	752	743
752	761	756
761	769	766
769	780	777
780	790	787
790	801	794
801	815	806
815	822	819
822	828	826
828	840	835
840	851	844
851	860	856
860	868	865
868	875	871
875	883	879
883	892	887
892	903	897
903	916	908
916	924	920
924	933	929
933	943	938
943	952	947
952	960	956
960	975	969
975	983	979
983	996	990
996	1010	1002
1010	1014	1009
1014	1025	1021
1025	1033	1028
1033	1042	1038
1042	1053	1047
1053	1073	1068
1073	1080	1077
1080	1094	1090
1094	1099	1096
1099	1109	1105
1109	1118	1113
1118	1128	1122
1128	1139	1134
1139	1146	1143
1146	1158	1150
1158	1174	1166
1174	1190	1178
1190	1201	1194
1201	1208	1204
1208	1217	1212
1217	1225	1222
1225	1242	1231
1242	1253	1248
1253	1260	1256
1260	1275	1270
1275	1283	1280
1283	1295	1288
1295	1302	1299
1302	1316	1312
1316	1324	1321
1324	1331	1328
1331	1337	1334
1337	1355	1345
1355	1365	1357
1365	1373	1369
1373	1384	1376
1384	1391	1387
1391	1401	1397
1401	1410	1405
1410	1424	1414
1424	1435	1431
1435	1441	1438
1441	1448	1444
1448	1456	1452
1456	1469	1466
1469	1477	1473
1477	1488	1484
1488	1497	1492
1497	1503	1500
1503	1519	1509
1519	1528	1523
1528	1536	1532
1536	1539	1541
1539	1552	1547
1552	1566	1554
1566	1584	1574
1584	1602	1595
1602	1615	1608
1615	1632	1620
1632	1647	1635
1647	1669	1660
1669	1680	1676
1680	1691	1683
1691	1702	1698
1702	1710	1707
1710	1717	1714
1717	1727	1723
1727	1740	1736
1740	1748	1743
1748	1761	1758
1761	1769	1765
1769	1781	1772
1781	1793	1786
1793	1808	1801
1832	1846	1841
1906	1921	1916
1921	1929	1924
1929	1944	1936
1944	1954	1948
1954	1961	1957
1961	1967	1964
1967	1979	1971
1979	1984	1982
1984	1992	1988
1992	2003	1998
2003	2021	2007
2021	2039	2028
2039	2050	2045
2050	2068	2054
2068	2077	2072
2077	2086	2082
2086	2099	2094
2099	2109	2104
2109	2123	2121
2123	2133	2127
2133	2144	2138
2144	2169	2156
2169	2176	2172
2176	2189	2181
2189	2204	2198
2216	2223	2219
2225	2243	2234
2243	2250	2247
2250	2257	2254
2257	2266	2261
2266	2275	2271
2275	2283	2280
2283	2295	2291
2295	2318	2301
2318	2326	2322
2326	2334	2329
2334	2346	2338
2346	2363	2359
2363	2370	2366
2370	2392	2389
2392	2401	2397
2401	2408	2403
2408	2418	2413
2418	2428	2424
2428	2436	2432
2436	2442	2439
2442	2451	2447
2451	2464	2456
2464	2485	2475
2485	2495	2487
2495	2511	2500
2511	2527	2516
2527	2538	2534
2538	2555	2547
2555	2571	2562
2571	2581	2574
2581	2589	2584
2589	2602	2597
2602	2616	2607
2616	2625	2622
2625	2639	2632
2639	2651	2647
2651	2659	2655
2659	2666	2662
2666	2680	2675
2680	2691	2687
2691	2703	2699
2703	2714	2708
2714	2730	2722
2730	2743	2738
2743	2761	2758
2761	2772	2766
2772	2779	2775
2779	2791	2785
2791	2810	2799
2810	2821	2812
2821	2833	2825
2858	2868	2863
2868	2875	2871
2875	2885	2879
2885	2893	2890
2893	2903	2899
2903	2915	2908
2915	2933	2928
2933	2948	2944
2948	2973	2959
2973	2986	2977
2986	2994	2989
2994	3008	3001
3008	3017	3013
3017	3026	3019
3026	3041	3033
3041	3057	3052
3057	3072	3065
3072	3088	3078
3088	3105	3096
3105	3114	3113
3114	3123	3119
3123	3138	3128
3138	3149	3145
3149	3161	3152
3161	3177	3174
3177	3192	3182
3192	3201	3197
3201	3217	3208
3217	3226	3221
3226	3237	3232
3237	3247	3243
3247	3263	3252
3263	3280	3268
3280	3298	3295
3298	3311	3301
3311	3323	3320
3323	3334	3329
3334	3347	3343
3347	3359	3354
3359	3372	3364
3372	3379	3376
3379	3395	3387
3395	3406	3398
3406	3415	3410
3415	3424	3419
3424	3435	3429
3435	3447	3441
3447	3460	3455
3460	3472	3463
3472	3485	3480
3485	3492	3489
3492	3505	3501
3505	3517	3514
3517	3523	3520
3523	3530	3527
3530	3539	3535
3539	3550	3544
3550	3559	3555
3559	3573	3568
3573	3591	3582
3591	3619	3608
3619	3628	3624
3628	3638	3632
3638	3651	3643
3651	3657	3654
3657	3670	3665
3670	3682	3675
3682	3698	3687
3698	3709	3702
3709	3722	3712
3722	3730	3726
3730	3746	3739
3746	3753	3749
3753	3766	3758
3766	3774	3770
3774	3787	3783
3787	3798	3793
3798	3805	3801
3805	3811	3808
3811	3818	3815
3818	3838	3826
3838	3847	3843
3847	3853	3850
3853	3861	3856
3861	3872	3866
3872	3890	3879
3890	3899	3894
3899	3906	3903
3906	3913	3910
3913	3923	3917
3923	3938	3927
3938	3953	3942
3953	3964	3961
3964	3972	3968
3972	3983	3976
3983	4001	3992
4001	4007	4005
4007	4016	4011
4016	4027	4020
4027	4034	4030
4034	4041	4038
4041	4052	4047
4052	4061	4057
4061	4068	4065
4068	4086	4077
4086	4102	4090
4102	4114	4107
4114	4130	4118
4130	4142	4139
4142	4167	4163
4167	4185	4174
4185	4193	4190
4193	4201	4197
4201	4216	4211
4216	4221	4218
4221	4241	4234
4241	4270	4264
4270	4282	4277
4282	4295	4288
4295	4309	4299
4309	4322	4312
4322	4336	4330
4336	4350	4343
4350	4361	4355
4361	4372	4364
4372	4380	4375
4380	4389	4385
4389	4412	4400
4412	4418	4415
4418	4431	4424
4431	4438	4435
4438	4449	4444
4449	4457	4453
4457	4469	4462
4469	4477	4473
4477	4496	4484
4496	4503	4500
4503	4511	4507
4511	4518	4515
4518	4530	4526
4530	4541	4535
4541	4552	4543
4552	4559	4555
4559	4575	4568
4575	4591	4580
4591	4603	4595
4603	4611	4607
4611	4633	4625
4633	4654	4643
4654	4668	4659
4668	4684	4680
4684	4695	4690
4695	4709	4705
4709	4720	4715
4720	4733	4728
4733	4743	4737
4743	4759	4754
4759	4769	4764
4769	4784	4778
4784	4798	4791
4798	4807	4804
4807	4819	4815
4819	4828	4825
4828	4835	4831
4835	4842	4838
4842	4851	4848
4851	4863	4860
