from.id	from.cord	to.id	to.cord
0	0	29	1450000
31	1550000	36	1800000
37	1850000	67	3350000
72	3600000	99	4950000
103	5150000	114	5700000
116	5800000	223	11150000
224	11200000	245	12250000
246	12300000	269	13450000
271	13550000	322	16100000
327	16350000	334	16700000
337	16850000	348	17400000
349	17450000	383	19150000
385	19250000	422	21100000
424	21200000	599	29950000
600	30000000	618	30900000
619	30950000	652	32600000
653	32650000	667	33350000
668	33400000	688	34400000
689	34450000	693	34650000
695	34750000	698	34900000
699	34950000	706	35300000
708	35400000	718	35900000
720	36000000	725	36250000
727	36350000	733	36650000
735	36750000	740	37000000
742	37100000	746	37300000
747	37350000	762	38100000
763	38150000	794	39700000
795	39750000	814	40700000
815	40750000	865	43250000
866	43300000	874	43700000
875	43750000	898	44900000
899	44950000	931	46550000
932	46600000	990	49500000
991	49550000	1029	51450000
1030	51500000	1054	52700000
1056	52800000	1171	58550000
1172	58600000	1234	61700000
1235	61750000	1257	62850000
1258	62900000	1298	64900000
1299	64950000	1332	66600000
1333	66650000	1382	69100000
1383	69150000	1424	71200000
1427	71350000	1434	71700000
1435	71750000	1441	72050000
1442	72100000	1476	73800000
1481	74050000	1496	74800000
1500	75000000	1516	75800000
1517	75850000	1536	76800000
1537	76850000	1622	81100000
1623	81150000	1737	86850000
1766	88300000	1780	89000000
1912	95600000	1920	96000000
1935	96750000	1941	97050000
1943	97150000	1952	97600000
1965	98250000	1996	99800000
1998	99900000	2013	100650000
2015	100750000	2023	101150000
2025	101250000	2028	101400000
2029	101450000	2038	101900000
2042	102100000	2044	102200000
2048	102400000	2052	102600000
2053	102650000	2056	102800000
2058	102900000	2065	103250000
2073	103650000	2077	103850000
2082	104100000	2084	104200000
2087	104350000	2114	105700000
2115	105750000	2117	105850000
2118	105900000	2123	106150000
2124	106200000	2129	106450000
2132	106600000	2136	106800000
2143	107150000	2168	108400000
2171	108550000	2181	109050000
2188	109400000	2201	110050000
2205	110250000	2209	110450000
2228	111400000	2239	111950000
2253	112650000	2261	113050000
2266	113300000	2280	114000000
2289	114450000	2323	116150000
2324	116200000	2368	118400000
2369	118450000	2372	118600000
2373	118650000	2392	119600000
2396	119800000	2398	119900000
2400	120000000	2549	127450000
2550	127500000	2613	130650000
2630	131500000	2637	131850000
2660	133000000	2664	133200000
2667	133350000	2684	134200000
2685	134250000	2734	136700000
2735	136750000	2847	142350000
2848	142400000	2867	143350000
2868	143400000	2957	147850000
2959	147950000	2993	149650000
2996	149800000	3026	151300000
3027	151350000	3067	153350000
3068	153400000	3076	153800000
3078	153900000	3086	154300000
3087	154350000	3164	158200000
3165	158250000	3171	158550000
3172	158600000	3193	159650000
3195	159750000	3201	160050000
3202	160100000	3245	162250000
3248	162400000	3255	162750000
3257	162850000	3271	163550000
3272	163600000	3350	167500000
3352	167600000	3370	168500000
3371	168550000	3375	168750000
3377	168850000	3401	170050000
3403	170150000	3423	171150000
3424	171200000	3530	176500000
3532	176600000	3541	177050000
3542	177100000	3547	177350000
3549	177450000	3564	178200000
3565	178250000	3589	179450000
3591	179550000	3597	179850000
3599	179950000	3613	180650000
3614	180700000	3647	182350000
3648	182400000	3653	182650000
3655	182750000	3682	184100000
3683	184150000	3717	185850000
3718	185900000	3733	186650000
3735	186750000	3739	186950000
3740	187000000	3771	188550000
3772	188600000	3809	190450000
3810	190500000	3824	191200000
3825	191250000	3834	191700000
3836	191800000	3865	193250000
3866	193300000	3894	194700000
3895	194750000	3901	195050000
3903	195150000	3922	196100000
3923	196150000	3942	197100000
3943	197150000	3963	198150000
3964	198200000	3975	198750000
3976	198800000	3983	199150000
3984	199200000	4024	201200000
4025	201250000	4037	201850000
4039	201950000	4042	202100000
4044	202200000	4052	202600000
4053	202650000	4152	207600000
4153	207650000	4192	209600000
4194	209700000	4244	212200000
4245	212250000	4346	217300000
4350	217500000	4358	217900000
4359	217950000	4378	218900000
4380	219000000	4400	220000000
4401	220050000	4410	220500000
4411	220550000	4443	222150000
4444	222200000	4542	227100000
