from.id	from.cord	to.id	to.cord
0	0	79	3950000
80	4000000	100	5000000
102	5100000	218	10900000
219	10950000	239	11950000
240	12000000	315	15750000
316	15800000	358	17900000
359	17950000	364	18200000
366	18300000	399	19950000
410	20500000	412	20600000
419	20950000	459	22950000
461	23050000	470	23500000
473	23650000	481	24050000
485	24250000	490	24500000
492	24600000	494	24700000
496	24800000	507	25350000
512	25600000	514	25700000
515	25750000	518	25900000
520	26000000	533	26650000
535	26750000	540	27000000
542	27100000	544	27200000
546	27300000	580	29000000
581	29050000	607	30350000
608	30400000	619	30950000
620	31000000	655	32750000
656	32800000	677	33850000
678	33900000	686	34300000
687	34350000	715	35750000
716	35800000	747	37350000
748	37400000	776	38800000
777	38850000	840	42000000
841	42050000	853	42650000
854	42700000	860	43000000
861	43050000	878	43900000
879	43950000	883	44150000
884	44200000	917	45850000
918	45900000	976	48800000
977	48850000	1015	50750000
1016	50800000	1155	57750000
1156	57800000	1218	60900000
1219	60950000	1253	62650000
1254	62700000	1285	64250000
1286	64300000	1302	65100000
1303	65150000	1317	65850000
1318	65900000	1367	68350000
1368	68400000	1410	70500000
1411	70550000	1418	70900000
1419	70950000	1425	71250000
1426	71300000	1476	73800000
1477	73850000	1494	74700000
1495	74750000	1584	79200000
1585	79250000	1606	80300000
1607	80350000	1752	87600000
1754	87700000	1760	88000000
1762	88100000	1792	89600000
1796	89800000	1805	90250000
1807	90350000	1809	90450000
1831	91550000	1846	92300000
1906	95300000	1960	98000000
1962	98100000	2155	107750000
2156	107800000	2201	110050000
2207	110350000	2210	110500000
2214	110700000	2222	111100000
2227	111350000	2239	111950000
2240	112000000	2390	119500000
2391	119550000	2465	123250000
2466	123300000	2480	124000000
2481	124050000	2503	125150000
2504	125200000	2650	132500000
2651	132550000	2675	133750000
2676	133800000	2740	137000000
2741	137050000	2787	139350000
2788	139400000	2837	141850000
2838	141900000	2868	143400000
2869	143450000	2884	144200000
2885	144250000	2952	147600000
2953	147650000	2985	149250000
2986	149300000	2993	149650000
2995	149750000	3044	152200000
3045	152250000	3048	152400000
3049	152450000	3070	153500000
3071	153550000	3167	158350000
3168	158400000	3258	162900000
3259	162950000	3336	166800000
3337	166850000	3369	168450000
3370	168500000	3405	170250000
3406	170300000	3437	171850000
3438	171900000	3478	173900000
3479	173950000	3508	175400000
3509	175450000	3531	176550000
3532	176600000	3555	177750000
3556	177800000	3604	180200000
3605	180250000	3633	181650000
3634	181700000	3668	183400000
3669	183450000	3680	184000000
3681	184050000	3712	185600000
3713	185650000	3734	186700000
3735	186750000	3755	187750000
3756	187800000	3775	188750000
3776	188800000	3816	190800000
3817	190850000	3904	195200000
3905	195250000	3989	199450000
3990	199500000	4034	201700000
4035	201750000	4122	206100000
4123	206150000	4158	207900000
4159	207950000	4180	209000000
4181	209050000	4197	209850000
4198	209900000	4232	211600000
4233	211650000	4506	225300000
4507	225350000	4552	227600000
4553	227650000	4766	238300000
