Start	End	Cen
0	6	0
6	13	9
13	37	25
37	51	47
51	80	70
80	101	91
101	109	106
109	121	115
121	138	129
138	151	147
151	162	155
162	171	165
171	177	174
177	191	182
191	198	195
198	204	201
204	218	208
218	225	222
225	239	229
239	246	242
246	263	253
263	281	274
281	293	289
293	306	297
306	314	310
314	333	325
333	339	337
339	350	346
350	371	364
371	380	376
380	390	384
390	401	397
401	411	406
411	424	414
424	437	429
437	450	442
450	463	455
463	479	472
479	487	483
487	501	496
501	508	505
508	522	512
522	532	525
532	540	536
540	558	547
558	574	569
574	581	578
581	589	585
589	607	598
607	618	611
618	632	624
632	640	636
640	651	644
651	659	653
659	677	668
677	685	681
685	693	690
693	700	697
700	713	709
713	722	719
722	731	727
731	739	734
739	752	744
752	762	756
762	775	766
775	781	777
781	790	786
790	801	795
801	816	811
816	830	826
830	840	836
840	852	844
852	860	856
860	876	871
876	884	879
884	893	888
893	904	898
904	915	908
915	924	920
924	943	929
943	952	947
952	960	956
960	974	969
974	982	978
982	997	986
997	1014	1004
1014	1026	1019
1026	1044	1035
1044	1052	1046
1052	1059	1055
1059	1068	1062
1068	1079	1074
1079	1093	1090
1093	1099	1096
1099	1118	1105
1118	1128	1122
1128	1140	1131
1140	1155	1150
1155	1180	1164
1180	1198	1194
1198	1207	1203
1207	1217	1212
1217	1225	1222
1225	1242	1232
1242	1253	1248
1253	1260	1257
1260	1276	1270
1276	1284	1279
1284	1295	1288
1295	1302	1299
1302	1316	1312
1316	1332	1326
1332	1348	1341
1348	1358	1353
1358	1365	1360
1365	1374	1369
1374	1383	1379
1383	1390	1387
1390	1402	1397
1402	1410	1405
1410	1424	1414
1424	1435	1431
1435	1441	1438
1441	1448	1444
1448	1457	1452
1457	1469	1466
1469	1478	1474
1478	1497	1484
1497	1503	1500
1503	1518	1510
1518	1528	1524
1528	1537	1532
1537	1555	1547
1555	1567	1559
1567	1576	1571
1576	1584	1580
1584	1603	1598
1603	1630	1614
1630	1646	1636
1646	1657	1652
1657	1670	1663
1670	1674	1672
1674	1682	1679
1682	1692	1687
1692	1702	1698
1702	1711	1707
1711	1717	1714
1717	1727	1723
1727	1744	1730
1744	1751	1747
1751	1761	1754
1761	1782	1772
1782	1790	1785
1795	1809	1803
1831	1846	1840
1906	1918	1914
1918	1932	1924
1932	1944	1942
1944	1961	1949
1963	1979	1971
1979	1994	1987
1994	2002	1998
2002	2017	2012
2017	2031	2028
2031	2039	2034
2039	2049	2044
2049	2068	2054
2068	2091	2083
2091	2102	2095
2102	2109	2105
2109	2118	2115
2118	2124	2121
2124	2133	2128
2133	2144	2138
2144	2169	2157
2169	2176	2173
2176	2194	2182
2194	2204	2197
