"start" "end"
"1" 25000 1875000
"2" 1875000 2575000
"3" 2575000 3825000
"4" 3825000 5675000
"5" 5675000 7125000
"6" 7125000 8925000
"7" 8925000 10825000
"8" 10825000 11875000
"9" 11875000 13175000
"10" 13175000 15725000
"11" 15725000 16875000
"12" 16875000 18575000
"13" 18575000 20075000
"14" 20075000 23975000
"15" 23975000 25375000
"16" 25375000 25975000
"17" 25975000 27825000
"18" 27825000 30375000
"19" 30375000 31775000
"20" 31775000 32725000
"21" 32725000 33975000
"22" 33975000 35725000
"23" 35725000 37225000
"24" 37225000 40975000
"25" 40975000 42025000
"26" 42025000 44075000
"27" 44075000 45825000
"28" 45825000 47575000
"29" 47575000 48825000
"30" 48825000 50825000
"31" 50825000 54025000
"32" 54025000 55925000
"33" 55925000 57775000
"34" 57775000 60925000
"35" 60925000 62175000
"36" 62175000 62575000
"37" 62575000 63975000
"38" 63975000 65875000
"39" 65875000 68275000
"40" 68275000 69475000
"41" 69475000 70525000
"42" 70525000 71725000
"43" 71725000 73425000
"44" 73425000 74825000
"45" 74825000 75925000
"46" 75925000 77075000
"47" 77075000 79325000
"48" 79325000 80275000
"49" 80275000 81375000
"50" 81375000 82375000
"51" 82375000 84575000
"52" 84575000 85675000
"53" 96625000 98075000
"54" 98075000 100075000
"55" 100075000 101875000
"56" 101875000 103425000
"57" 103425000 107225000
"58" 107225000 108775000
"59" 108775000 112575000
"60" 112575000 114175000
"61" 114175000 118725000
"62" 118725000 121125000
"63" 121125000 122175000
"64" 122675000 124675000
"65" 124675000 125475000
"66" 125475000 127775000
"67" 127775000 129075000
"68" 129075000 130675000
"69" 130675000 134525000
"70" 134525000 135625000
"71" 135625000 136675000
"72" 136675000 137225000
"73" 137225000 138525000
"74" 138525000 139725000
"75" 139725000 141675000
"76" 141675000 142775000
"77" 142775000 145575000
"78" 145575000 147525000
"79" 147525000 148725000
"80" 148725000 149825000
"81" 149825000 150425000
"82" 150425000 152275000
"83" 152275000 153625000
"84" 153625000 155025000
"85" 155025000 156275000
"86" 156275000 158075000
"87" 158075000 159725000
"88" 159725000 160925000
"89" 160925000 162075000
"90" 162075000 163225000
"91" 163225000 163925000
"92" 163925000 165425000
"93" 165425000 167175000
"94" 167175000 168975000
"95" 168975000 171775000
"96" 171775000 172325000
"97" 172325000 175425000
"98" 175425000 176925000
"99" 176925000 178725000
"100" 178725000 180775000
"101" 180775000 181925000
"102" 181925000 182925000
"103" 182925000 184025000
"104" 184025000 186075000
"105" 186075000 187525000
"106" 187525000 188475000
"107" 188475000 189325000
"108" 189325000 190425000
"109" 190425000 191875000
"110" 191875000 193175000
"111" 193175000 196975000
"112" 196975000 199175000
"113" 199175000 200525000
"114" 200525000 203175000
"115" 203175000 204825000
"116" 204825000 206925000
"117" 206925000 209075000
"118" 209075000 211275000
"119" 211275000 212325000
"120" 212325000 213525000
"121" 213525000 215175000
"122" 215175000 216975000
"123" 216975000 218775000
"124" 218775000 220475000
"125" 220475000 222625000
"126" 222625000 224625000
"127" 224625000 225875000
"128" 225875000 228025000
"129" 228025000 228725000
"130" 228725000 230525000
"131" 230525000 232525000
"132" 232525000 233425000
"133" 233425000 234725000
"134" 234725000 238125000
"135" 238125000 243125000
