Start	End	Cen
0	13	0
13	36	25
36	51	46
51	61	58
61	75	70
75	105	91
105	110	106
110	122	115
122	138	129
138	157	155
157	177	172
177	191	182
191	204	201
204	218	208
218	239	229
239	250	242
250	263	253
263	285	274
285	293	289
293	306	297
306	315	310
315	333	325
333	339	337
339	350	346
350	371	364
371	379	376
379	391	384
391	401	396
401	411	406
411	424	414
424	431	428
431	451	442
451	462	455
462	478	472
478	491	484
491	501	496
501	508	505
508	517	512
517	533	525
533	540	537
540	558	547
558	574	564
574	582	578
582	589	585
589	606	598
606	618	611
618	632	623
632	651	644
651	660	653
660	677	668
677	685	681
685	700	690
700	713	704
713	721	719
721	731	727
731	739	734
739	752	744
752	762	756
762	775	766
775	781	777
781	790	786
790	801	795
801	816	811
816	831	826
831	840	836
840	851	844
851	860	856
860	876	871
876	884	880
884	893	888
893	903	897
903	915	908
915	924	920
924	943	929
943	952	947
952	960	956
960	975	970
975	982	979
982	996	987
996	1014	1003
1014	1040	1030
1040	1050	1047
1050	1059	1055
1059	1070	1062
1070	1079	1075
1079	1093	1090
1093	1099	1096
1099	1108	1105
1108	1118	1112
1118	1127	1122
1127	1139	1132
1139	1158	1150
1158	1179	1164
1179	1190	1182
1190	1198	1194
1198	1207	1203
1207	1217	1212
1217	1225	1222
1225	1242	1232
1242	1253	1248
1253	1260	1257
1260	1276	1270
1276	1284	1279
1284	1295	1288
1295	1308	1299
1308	1316	1312
1316	1324	1321
1324	1332	1327
1332	1348	1341
1348	1358	1352
1358	1365	1360
1365	1374	1369
1374	1383	1379
1383	1390	1387
1390	1401	1397
1401	1410	1405
1410	1424	1414
1424	1435	1431
1435	1448	1444
1448	1458	1452
1458	1469	1466
1469	1478	1474
1478	1497	1484
1497	1503	1500
1503	1518	1510
1518	1528	1524
1528	1536	1532
1536	1554	1550
1554	1567	1560
1567	1576	1571
1576	1584	1580
1584	1603	1597
1603	1631	1614
1631	1646	1636
1646	1658	1652
1658	1670	1663
1670	1680	1675
1680	1692	1687
1692	1705	1698
1705	1710	1707
1710	1717	1714
1717	1740	1723
1740	1753	1743
1753	1759	1754
1759	1768	1760
1768	1782	1772
1782	1792	1786
1796	1808	1801
1831	1846	1842
1906	1921	1915
1921	1931	1924
1931	1944	1936
1944	1962	1951
1962	1979	1971
1979	1994	1987
1994	2003	1998
2003	2017	2012
2017	2031	2028
2031	2039	2034
2039	2049	2044
2049	2069	2054
2069	2090	2084
2090	2100	2095
2100	2110	2105
2110	2118	2115
2118	2124	2121
2124	2133	2128
2133	2144	2138
2144	2169	2158
2169	2176	2172
2176	2190	2182
2190	2204	2198
2204	2211	2208
2211	2221	2218
2227	2244	2239
2244	2250	2246
2250	2265	2261
2265	2275	2271
2275	2284	2280
2284	2295	2291
2295	2309	2301
2319	2333	2324
2333	2345	2337
2345	2363	2353
2363	2370	2366
2370	2392	2387
2392	2399	2396
2399	2408	2403
2408	2422	2413
2422	2428	2425
2428	2441	2432
2441	2451	2447
2451	2472	2467
2472	2484	2476
2484	2495	2487
2495	2510	2500
2510	2531	2522
2531	2539	2535
2539	2555	2547
2555	2568	2562
2568	2573	2570
2573	2581	2577
2581	2589	2585
2589	2603	2597
2603	2616	2607
2616	2629	2620
2629	2636	2632
2636	2651	2647
2651	2666	2654
2666	2678	2673
2678	2691	2683
2691	2704	2700
2704	2713	2708
2713	2731	2726
2731	2743	2738
2743	2753	2747
2753	2763	2759
2763	2772	2767
2772	2791	2785
2791	2810	2807
2810	2824	2817
2824	2833	2829
2833	2858	2844
2858	2868	2863
2868	2875	2871
2875	2884	2878
2884	2912	2900
2912	2931	2927
2931	2948	2938
2948	2962	2959
2962	2973	2968
2973	2985	2978
2985	2994	2989
2994	3008	3001
3008	3026	3019
3026	3031	3028
