from.id	from.cord	to.id	to.cord
0	0	36	1800000
37	1850000	67	3350000
68	3400000	100	5000000
102	5100000	217	10850000
218	10900000	239	11950000
240	12000000	315	15750000
316	15800000	339	16950000
340	17000000	588	29400000
589	29450000	607	30350000
608	30400000	642	32100000
643	32150000	655	32750000
656	32800000	676	33800000
677	33850000	685	34250000
686	34300000	732	36600000
733	36650000	747	37350000
748	37400000	780	39000000
781	39050000	841	42050000
842	42100000	860	43000000
861	43050000	884	44200000
885	44250000	917	45850000
918	45900000	975	48750000
976	48800000	1015	50750000
1016	50800000	1157	57850000
1158	57900000	1219	60950000
1220	61000000	1242	62100000
1243	62150000	1284	64200000
1285	64250000	1316	65800000
1317	65850000	1367	68350000
1368	68400000	1410	70500000
1411	70550000	1414	70700000
1415	70750000	1418	70900000
1419	70950000	1477	73850000
1478	73900000	1494	74700000
1495	74750000	1518	75900000
1519	75950000	1607	80350000
1608	80400000	1743	87150000
1745	87250000	1752	87600000
1754	87700000	1792	89600000
1796	89800000	1805	90250000
1807	90350000	1809	90450000
1831	91550000	1846	92300000
1906	95300000	2154	107700000
2155	107750000	2199	109950000
2200	110000000	2202	110100000
2206	110300000	2210	110500000
2215	110750000	2222	111100000
2227	111350000	2239	111950000
2240	112000000	2389	119450000
2390	119500000	2465	123250000
2466	123300000	2469	123450000
2470	123500000	2473	123650000
2474	123700000	2487	124350000
2488	124400000	2503	125150000
2504	125200000	2651	132550000
2652	132600000	2718	135900000
2724	136200000	2732	136600000
2733	136650000	2789	139450000
2790	139500000	2837	141850000
2838	141900000	2867	143350000
2868	143400000	2885	144250000
2886	144300000	2969	148450000
2970	148500000	2991	149550000
2995	149750000	3044	152200000
3045	152250000	3070	153500000
3071	153550000	3167	158350000
3168	158400000	3219	160950000
3220	161000000	3337	166850000
3338	166900000	3359	167950000
3360	168000000	3405	170250000
3406	170300000	3440	172000000
3441	172050000	3475	173750000
3476	173800000	3508	175400000
3509	175450000	3531	176550000
3532	176600000	3562	178100000
3563	178150000	3601	180050000
3602	180100000	3616	180800000
3617	180850000	3656	182800000
3657	182850000	3682	184100000
3683	184150000	3714	185700000
3715	185750000	3734	186700000
3735	186750000	3755	187750000
3756	187800000	3767	188350000
3768	188400000	3775	188750000
3776	188800000	3816	190800000
3817	190850000	3842	192100000
3843	192150000	3943	197150000
3947	197350000	4034	201700000
4035	201750000	4129	206450000
4130	206500000	4158	207900000
4159	207950000	4189	209450000
4190	209500000	4198	209900000
4199	209950000	4232	211600000
4233	211650000	4506	225300000
4507	225350000	4553	227650000
4557	227850000	4560	228000000
4562	228100000	4649	232450000
4651	232550000	4654	232700000
4656	232800000	4682	234100000
4687	234350000	4700	235000000
4702	235100000	4708	235400000
4710	235500000	4713	235650000
4715	235750000	4734	236700000
4736	236800000	4758	237900000
4760	238000000	4766	238300000
