"start" "end"
"1" 25000 1825000
"2" 1825000 5725000
"3" 5725000 7225000
"4" 7225000 10825000
"5" 10825000 11875000
"6" 11875000 13175000
"7" 13175000 14375000
"8" 14375000 15675000
"9" 15675000 16875000
"10" 16875000 17925000
"11" 17925000 18525000
"12" 18525000 20825000
"13" 20825000 22425000
"14" 22425000 24025000
"15" 24025000 25575000
"16" 25875000 27725000
"17" 27725000 29125000
"18" 29125000 30425000
"19" 30425000 32025000
"20" 32025000 32725000
"21" 32725000 35475000
"22" 35475000 37025000
"23" 37025000 39925000
"24" 39925000 41025000
"25" 41025000 42625000
"26" 42625000 44075000
"27" 44075000 45875000
"28" 45875000 47575000
"29" 47575000 48775000
"30" 48775000 50725000
"31" 50725000 51675000
"32" 51675000 54075000
"33" 54075000 55875000
"34" 55875000 57875000
"35" 57875000 59125000
"36" 59125000 60925000
"37" 60925000 62125000
"38" 62125000 64075000
"39" 64075000 65775000
"40" 65775000 68375000
"41" 68375000 69675000
"42" 69675000 70475000
"43" 70475000 73375000
"44" 73375000 74725000
"45" 74725000 75875000
"46" 75875000 80175000
"47" 80175000 81325000
"48" 81325000 82325000
"49" 82325000 83675000
"50" 83675000 85175000
"51" 85175000 86325000
"52" 97975000 99175000
"53" 99175000 100025000
"54" 100025000 101225000
"55" 101225000 103475000
"56" 103475000 105675000
"57" 105675000 107225000
"58" 107225000 108825000
"59" 108825000 112575000
"60" 112575000 114325000
"61" 114325000 117175000
"62" 117175000 118625000
"63" 118625000 120275000
"64" 120275000 120975000
"65" 120975000 122425000
"66" 122425000 124775000
"67" 124775000 127775000
"68" 127775000 134575000
"69" 134575000 135625000
"70" 135625000 136625000
"71" 136625000 137275000
"72" 137275000 138575000
"73" 138575000 139625000
"74" 139625000 140825000
"75" 140825000 142875000
"76" 142875000 146425000
"77" 146425000 147425000
"78" 147425000 148675000
"79" 148675000 150425000
"80" 150425000 152275000
"81" 152275000 153575000
"82" 153575000 155275000
"83" 155275000 156225000
"84" 156225000 158175000
"85" 158175000 159725000
"86" 159725000 160875000
"87" 160875000 162075000
"88" 162075000 163175000
"89" 163175000 163975000
"90" 163975000 165425000
"91" 165425000 167275000
"92" 167275000 168925000
"93" 168925000 170225000
"94" 170225000 171825000
"95" 171825000 172325000
"96" 172325000 173575000
"97" 173575000 175375000
"98" 175375000 176975000
"99" 176975000 178075000
"100" 178075000 178775000
"101" 178775000 179475000
"102" 179475000 180825000
"103" 180825000 181975000
"104" 181975000 184025000
"105" 184025000 185325000
"106" 185325000 186125000
"107" 186125000 187475000
"108" 187475000 188375000
"109" 188375000 189475000
"110" 189475000 190425000
"111" 190425000 191825000
"112" 191825000 192375000
"113" 192375000 194575000
"114" 194575000 196975000
"115" 196975000 199125000
"116" 199125000 200575000
"117" 200575000 203175000
"118" 203175000 204825000
"119" 204825000 206925000
"120" 206925000 209075000
"121" 209075000 210275000
"122" 210275000 211275000
"123" 211275000 213475000
"124" 213475000 214125000
"125" 214125000 216175000
"126" 216175000 216975000
"127" 216975000 220475000
"128" 220475000 223625000
"129" 223625000 224875000
"130" 224875000 226475000
"131" 226475000 227825000
"132" 227825000 230675000
"133" 230675000 231825000
"134" 231825000 232425000
"135" 232425000 233475000
"136" 233475000 234325000
"137" 234325000 236025000
"138" 236025000 236725000
"139" 236725000 238625000
"140" 238625000 239125000
"141" 239125000 239875000
"142" 239875000 241025000
"143" 241025000 243125000
