from.id	from.cord	to.id	to.cord
0	0	77	3850000
78	3900000	100	5000000
102	5100000	217	10850000
218	10900000	239	11950000
240	12000000	263	13150000
264	13200000	353	17650000
355	17750000	357	17850000
364	18200000	394	19700000
396	19800000	400	20000000
401	20050000	415	20750000
416	20800000	428	21400000
431	21550000	435	21750000
437	21850000	440	22000000
442	22100000	454	22700000
456	22800000	469	23450000
470	23500000	477	23850000
478	23900000	486	24300000
489	24450000	492	24600000
493	24650000	496	24800000
498	24900000	555	27750000
557	27850000	573	28650000
576	28800000	578	28900000
581	29050000	583	29150000
584	29200000	607	30350000
608	30400000	641	32050000
642	32100000	677	33850000
678	33900000	731	36550000
732	36600000	746	37300000
747	37350000	782	39100000
783	39150000	840	42000000
841	42050000	860	43000000
861	43050000	884	44200000
885	44250000	917	45850000
918	45900000	977	48850000
978	48900000	1080	54000000
1081	54050000	1157	57850000
1158	57900000	1218	60900000
1219	60950000	1235	61750000
1236	61800000	1284	64200000
1285	64250000	1316	65800000
1317	65850000	1367	68350000
1368	68400000	1410	70500000
1411	70550000	1425	71250000
1427	71350000	1463	73150000
1464	73200000	1469	73450000
1470	73500000	1494	74700000
1495	74750000	1519	75950000
1520	76000000	1693	84650000
1694	84700000	1752	87600000
1754	87700000	1792	89600000
1796	89800000	1805	90250000
1807	90350000	1809	90450000
1831	91550000	1846	92300000
1906	95300000	1958	97900000
1960	98000000	2154	107700000
2155	107750000	2199	109950000
2200	110000000	2202	110100000
2205	110250000	2210	110500000
2215	110750000	2224	111200000
2227	111350000	2239	111950000
2240	112000000	2388	119400000
2389	119450000	2464	123200000
2465	123250000	2478	123900000
2479	123950000	2503	125150000
2504	125200000	2648	132400000
2649	132450000	2718	135900000
2720	136000000	2730	136500000
2735	136750000	2807	140350000
2808	140400000	2835	141750000
2836	141800000	2866	143300000
2867	143350000	2884	144200000
2885	144250000	2969	148450000
2970	148500000	2993	149650000
2996	149800000	3026	151300000
3027	151350000	3043	152150000
3044	152200000	3088	154400000
3090	154500000	3103	155150000
3104	155200000	3166	158300000
3167	158350000	3260	163000000
3261	163050000	3339	166950000
3340	167000000	3372	168600000
3373	168650000	3415	170750000
3416	170800000	3487	174350000
3488	174400000	3530	176500000
3531	176550000	3554	177700000
3555	177750000	3606	180300000
3607	180350000	3615	180750000
3616	180800000	3670	183500000
3671	183550000	3712	185600000
3713	185650000	3733	186650000
3734	186700000	3754	187700000
3755	187750000	3776	188800000
3777	188850000	3817	190850000
3818	190900000	3841	192050000
3842	192100000	3941	197050000
3942	197100000	4033	201650000
4034	201700000	4129	206450000
4130	206500000	4157	207850000
4158	207900000	4190	209500000
4191	209550000	4197	209850000
4198	209900000	4214	210700000
4215	210750000	4232	211600000
4233	211650000	4504	225200000
4505	225250000	4557	227850000
4558	227900000	4767	238350000
