"start" "end"
"1" 25000 1775000
"2" 1775000 3775000
"3" 3775000 5075000
"4" 5075000 7125000
"5" 7125000 10825000
"6" 10825000 11925000
"7" 11925000 13225000
"8" 13225000 15675000
"9" 15675000 16875000
"10" 16875000 17775000
"11" 17775000 18625000
"12" 18625000 20075000
"13" 20075000 23925000
"14" 23925000 25525000
"15" 25525000 29075000
"16" 29075000 30375000
"17" 30375000 31925000
"18" 31925000 33975000
"19" 33975000 36625000
"20" 37025000 39025000
"21" 39025000 40025000
"22" 40025000 41975000
"23" 41975000 44025000
"24" 44025000 45225000
"25" 45225000 45775000
"26" 45775000 47675000
"27" 47675000 49025000
"28" 49025000 50775000
"29" 50775000 52425000
"30" 52425000 54025000
"31" 54025000 55875000
"32" 55875000 56375000
"33" 56375000 57875000
"34" 57875000 59225000
"35" 59225000 60825000
"36" 60825000 62125000
"37" 62125000 64025000
"38" 64025000 65825000
"39" 65825000 68375000
"40" 68375000 69625000
"41" 69625000 70525000
"42" 70525000 71375000
"43" 71375000 73425000
"44" 73425000 74775000
"45" 74775000 75925000
"46" 75925000 77725000
"47" 77725000 79275000
"48" 79275000 80175000
"49" 80175000 82325000
"50" 82325000 85175000
"51" 85175000 86325000
"52" 97975000 99175000
"53" 99175000 100025000
"54" 100025000 101225000
"55" 101225000 105575000
"56" 105575000 107275000
"57" 107275000 112575000
"58" 112575000 113725000
"59" 113725000 114225000
"60" 114225000 114775000
"61" 114775000 118575000
"62" 118575000 120125000
"63" 120125000 121025000
"64" 121025000 122475000
"65" 122475000 124725000
"66" 124725000 127725000
"67" 127725000 130675000
"68" 130675000 134575000
"69" 134575000 135675000
"70" 135675000 137175000
"71" 137175000 138575000
"72" 138575000 139625000
"73" 139625000 140575000
"74" 140575000 142675000
"75" 142675000 143925000
"76" 143925000 147425000
"77" 147425000 148675000
"78" 148675000 150375000
"79" 150375000 152225000
"80" 152225000 153625000
"81" 153625000 155125000
"82" 155125000 156225000
"83" 156225000 158175000
"84" 158175000 159675000
"85" 159675000 160825000
"86" 160825000 162075000
"87" 162075000 163225000
"88" 163225000 163925000
"89" 163925000 167325000
"90" 167325000 168875000
"91" 168875000 170175000
"92" 170175000 171775000
"93" 171775000 173575000
"94" 173575000 175375000
"95" 175375000 176975000
"96" 176975000 178775000
"97" 178775000 179525000
"98" 179525000 180825000
"99" 180825000 182475000
"100" 182475000 184075000
"101" 184075000 187375000
"102" 187375000 188425000
"103" 188425000 189475000
"104" 189475000 190475000
"105" 190475000 191875000
"106" 191875000 193225000
"107" 193225000 194875000
"108" 194875000 196975000
"109" 196975000 199175000
"110" 199175000 200575000
"111" 200575000 201775000
"112" 201775000 204825000
"113" 204825000 206875000
"114" 206875000 209075000
"115" 209075000 210225000
"116" 210225000 211275000
"117" 211275000 212275000
"118" 212275000 213525000
"119" 213525000 216125000
"120" 216125000 220475000
"121" 220475000 221575000
"122" 221575000 222825000
"123" 222825000 223525000
"124" 223525000 224725000
"125" 224725000 225975000
"126" 225975000 227975000
"127" 227975000 228825000
"128" 228825000 230525000
"129" 230525000 231875000
"130" 231875000 232375000
"131" 232375000 233425000
"132" 233425000 236625000
"133" 236625000 237125000
"134" 237125000 238125000
"135" 238125000 239225000
"136" 239225000 243125000
