Start	End	Cen
0	6	0
6	13	9
13	30	20
30	37	33
37	50	47
50	67	54
67	75	70
75	97	87
97	101	95
101	110	106
110	121	118
121	129	125
129	139	133
139	156	154
156	177	165
177	185	182
185	191	188
191	204	201
204	218	208
218	225	222
225	239	229
239	246	243
246	263	253
263	279	275
279	289	283
289	302	293
302	315	310
315	333	326
333	339	337
339	359	353
359	371	363
371	378	376
378	391	385
391	401	395
401	410	406
410	417	414
417	425	421
425	452	440
452	468	457
468	479	475
479	492	484
492	501	496
501	509	505
509	520	513
520	528	525
528	540	537
540	551	548
551	558	554
558	573	566
573	582	578
582	589	585
589	607	595
607	618	612
618	628	623
628	640	630
640	648	644
648	657	652
657	677	663
677	686	681
686	700	696
700	712	703
712	730	726
730	738	734
738	745	742
745	762	756
762	770	767
770	780	777
780	790	786
790	802	794
802	820	806
820	832	824
832	840	835
840	852	848
852	860	856
860	876	865
876	884	879
884	892	888
892	903	898
903	916	909
916	924	920
924	932	928
932	943	939
943	952	947
952	960	956
960	976	969
976	984	980
984	1014	988
1014	1031	1021
1031	1038	1034
1038	1046	1040
1046	1058	1052
1058	1069	1062
1069	1079	1075
1079	1098	1091
1098	1109	1105
1109	1117	1112
1117	1128	1122
1128	1140	1135
1140	1157	1147
1157	1178	1166
1178	1190	1183
1190	1200	1195
1200	1217	1212
1217	1225	1222
1225	1242	1231
1242	1253	1248
1253	1265	1257
1265	1275	1270
1275	1284	1280
1284	1295	1289
1295	1309	1299
1309	1316	1311
1316	1332	1321
1332	1348	1340
1348	1358	1353
1358	1373	1369
1373	1383	1380
1383	1391	1387
1391	1401	1396
1401	1410	1405
1410	1426	1414
1426	1435	1431
1435	1447	1439
1447	1461	1452
1461	1469	1464
1469	1479	1474
1479	1497	1484
1497	1503	1500
1503	1519	1509
1519	1538	1532
1538	1555	1549
1584	1594	1591
1594	1602	1598
1602	1617	1606
1617	1630	1622
1630	1643	1639
1643	1653	1650
1653	1670	1665
1670	1683	1678
1683	1692	1688
1692	1703	1698
1703	1711	1708
1711	1717	1714
1717	1728	1723
1728	1738	1731
1738	1749	1742
1749	1753	1751
1753	1760	1757
1762	1769	1763
1769	1780	1778
1780	1792	1786
1796	1807	1801
1831	1846	1839
1906	1932	1924
1932	1939	1936
1939	1962	1947
1962	1979	1971
1979	1985	1982
1985	1994	1989
1994	2023	2011
2023	2037	2028
2037	2050	2044
2050	2070	2054
2070	2086	2082
2086	2097	2092
2097	2109	2104
2109	2123	2121
2123	2133	2128
2133	2144	2138
2144	2155	2152
2155	2175	2164
2175	2187	2182
2187	2204	2198
2204	2210	2208
2215	2221	2219
2227	2243	2233
2243	2250	2246
2250	2265	2261
