"start" "end"
"1" 25000 1775000
"2" 1775000 2825000
"3" 2825000 3825000
"4" 3825000 5575000
"5" 5575000 6975000
"6" 6975000 8925000
"7" 8925000 10825000
"8" 10825000 11875000
"9" 11875000 13175000
"10" 13175000 16875000
"11" 16875000 18525000
"12" 18525000 19975000
"13" 19975000 25925000
"14" 25925000 27025000
"15" 27025000 29075000
"16" 29075000 30375000
"17" 30375000 31875000
"18" 31875000 32675000
"19" 32675000 33925000
"20" 33925000 35625000
"21" 35625000 36975000
"22" 36975000 40075000
"23" 40075000 42025000
"24" 42025000 44025000
"25" 44025000 45175000
"26" 45175000 46025000
"27" 46025000 47625000
"28" 47625000 50725000
"29" 50725000 52175000
"30" 52175000 53925000
"31" 53925000 55925000
"32" 55925000 57875000
"33" 57875000 59325000
"34" 59325000 60925000
"35" 60925000 62175000
"36" 62175000 62625000
"37" 62625000 65825000
"38" 65825000 68225000
"39" 68225000 70475000
"40" 70475000 74775000
"41" 74775000 75875000
"42" 75875000 76975000
"43" 76975000 79225000
"44" 79225000 80225000
"45" 80225000 82375000
"46" 82375000 86325000
"47" 96575000 97975000
"48" 97975000 99175000
"49" 99175000 100025000
"50" 100025000 101075000
"51" 101075000 103525000
"52" 103525000 107175000
"53" 107175000 108825000
"54" 108825000 112575000
"55" 112575000 114225000
"56" 114225000 118625000
"57" 118625000 119875000
"58" 119875000 121375000
"59" 121375000 122625000
"60" 122625000 124675000
"61" 124675000 127825000
"62" 127825000 130725000
"63" 130725000 134575000
"64" 134575000 135625000
"65" 135625000 137225000
"66" 137225000 138575000
"67" 138575000 139725000
"68" 139725000 141675000
"69" 141675000 143875000
"70" 143875000 147425000
"71" 147425000 148675000
"72" 148675000 150425000
"73" 150425000 152125000
"74" 152125000 153575000
"75" 153575000 156225000
"76" 156225000 158175000
"77" 158175000 159675000
"78" 159675000 160875000
"79" 160875000 162025000
"80" 162025000 163175000
"81" 163175000 165575000
"82" 165575000 167275000
"83" 167275000 169025000
"84" 169025000 170275000
"85" 170275000 171825000
"86" 171825000 172325000
"87" 172325000 173075000
"88" 173075000 173625000
"89" 173625000 175425000
"90" 175425000 176975000
"91" 176975000 178025000
"92" 178025000 178725000
"93" 178725000 179575000
"94" 179575000 180875000
"95" 180875000 183575000
"96" 183575000 184125000
"97" 184125000 186025000
"98" 186025000 187475000
"99" 187475000 188675000
"100" 188675000 190425000
"101" 190425000 191875000
"102" 191875000 193125000
"103" 193125000 194925000
"104" 194925000 196125000
"105" 196125000 196925000
"106" 196925000 199125000
"107" 199125000 200575000
"108" 200575000 201725000
"109" 201725000 203225000
"110" 203225000 204875000
"111" 204875000 206775000
"112" 206775000 209125000
"113" 209125000 211125000
"114" 211125000 212275000
"115" 212275000 213575000
"116" 213575000 215975000
"117" 215975000 216975000
"118" 216975000 220575000
"119" 220575000 222725000
"120" 222725000 224725000
"121" 224725000 225625000
"122" 225625000 226575000
"123" 226575000 227975000
"124" 227975000 228725000
"125" 228725000 230525000
"126" 230525000 231775000
"127" 231775000 232475000
"128" 232475000 233475000
"129" 233475000 234625000
"130" 234625000 236025000
"131" 236025000 237125000
"132" 237125000 239775000
"133" 239775000 243125000
