Start	End	Cen
0	14	0
14	36	27
36	43	40
43	50	47
50	61	54
61	74	70
74	87	84
87	101	91
101	110	106
110	121	115
121	128	125
128	138	133
138	144	141
144	156	153
156	177	172
177	191	188
191	204	201
204	218	209
218	239	229
239	256	247
256	263	259
263	272	270
272	280	277
280	295	286
295	300	297
300	314	309
314	333	325
333	339	337
339	356	343
356	371	364
371	379	376
379	391	384
391	401	395
401	411	406
411	417	414
417	424	421
424	431	428
431	441	436
441	450	443
450	469	455
469	479	474
479	492	484
492	501	496
501	509	505
509	516	513
516	528	525
528	545	538
545	558	548
558	574	563
574	581	578
581	589	586
589	606	597
606	618	614
618	632	624
632	638	635
638	655	644
655	677	668
677	685	681
685	699	691
699	713	709
713	722	719
722	731	726
731	739	734
739	752	744
752	762	757
762	775	766
775	780	777
780	790	787
790	800	796
800	809	806
809	820	812
820	832	825
832	840	836
840	851	844
851	860	856
860	875	865
875	884	879
884	892	888
892	904	898
904	916	909
916	924	920
924	933	929
933	943	939
943	951	947
951	960	956
960	976	969
976	983	980
983	996	987
996	1014	1003
1014	1038	1023
1038	1053	1048
1053	1065	1055
1065	1071	1068
1071	1080	1075
1080	1099	1090
1099	1109	1105
1109	1118	1112
1118	1127	1122
1127	1139	1132
1139	1159	1150
1159	1174	1165
1174	1190	1183
1190	1196	1194
1196	1207	1204
1207	1217	1211
1217	1225	1222
1225	1242	1231
1242	1253	1248
1253	1260	1257
1260	1275	1268
1275	1284	1280
1284	1295	1288
1295	1302	1299
1302	1316	1312
1316	1332	1321
1332	1337	1334
1337	1349	1342
1349	1355	1353
1355	1365	1360
1365	1373	1369
1373	1383	1379
1383	1391	1387
1391	1401	1397
1401	1410	1405
1410	1417	1414
1417	1424	1421
1424	1435	1431
1435	1448	1439
1448	1459	1452
1459	1469	1465
1469	1477	1474
1477	1492	1484
1492	1503	1500
1503	1518	1510
1518	1528	1524
1528	1542	1532
1542	1558	1547
1558	1570	1562
1570	1584	1580
1584	1602	1597
1602	1610	1607
1610	1631	1619
1631	1640	1637
1640	1649	1644
1649	1669	1666
1669	1680	1676
1680	1691	1687
1691	1702	1698
1702	1710	1707
1710	1717	1714
1717	1733	1723
1733	1752	1736
1752	1753	1750
1753	1760	1757
1762	1767	1764
1767	1781	1773
1781	1791	1788
1796	1805	1801
1833	1846	1839
1906	1913	1910
1913	1922	1916
1922	1928	1924
1928	1940	1936
1940	1958	1952
1958	1979	1972
1979	1992	1987
1992	2002	1997
2002	2019	2008
2019	2031	2028
2031	2039	2035
2039	2049	2044
2049	2068	2054
2068	2075	2073
2075	2089	2079
2089	2091	2087
2091	2100	2096
2100	2110	2105
2110	2133	2127
2133	2144	2138
2144	2157	2153
2157	2169	2161
2169	2177	2172
2177	2189	2182
2189	2203	2198
2215	2221	2218
2225	2243	2234
2243	2250	2246
2250	2266	2260
2266	2275	2271
2275	2284	2279
2284	2294	2291
2294	2307	2299
2307	2318	2312
2318	2333	2322
2333	2344	2337
2344	2354	2350
2354	2363	2358
2363	2376	2366
2376	2392	2387
2392	2399	2396
2399	2408	2402
2408	2422	2414
2422	2428	2425
2428	2436	2432
2436	2450	2446
2450	2464	2457
2464	2472	2468
2472	2480	2477
2480	2495	2491
2495	2511	2500
2511	2530	2519
2530	2539	2534
2539	2555	2546
2555	2580	2562
2580	2590	2585
2590	2603	2597
2603	2613	2605
2613	2628	2621
2628	2636	2629
2636	2651	2647
2651	2659	2655
2659	2678	2673
2678	2692	2687
2692	2704	2700
2704	2714	2708
2714	2731	2719
2731	2743	2738
2743	2753	2748
2753	2763	2756
2763	2772	2767
2772	2782	2776
2782	2791	2786
2791	2801	2797
2801	2810	2805
2810	2833	2824
2833	2847	2843
2847	2857	2851
2857	2867	2862
2867	2875	2871
2875	2886	2879
2886	2904	2900
2904	2916	2908
2916	2923	2920
2923	2949	2938
2949	2973	2961
2973	2985	2981
2985	2994	2989
2994	3008	3001
3008	3027	3015
3027	3041	3032
3041	3057	3053
3057	3071	3065
3071	3087	3083
3087	3104	3100
3104	3123	3115
3123	3140	3129
3140	3149	3145
3149	3162	3153
3162	3172	3165
3172	3177	3174
3177	3193	3182
3193	3201	3197
3201	3217	3208
3217	3237	3231
3237	3248	3244
3248	3260	3252
3260	3273	3267
3273	3280	3276
3280	3289	3286
3289	3298	3295
3298	3308	3302
3308	3324	3320
3324	3335	3328
3335	3347	3342
3347	3361	3352
3361	3379	3371
3379	3395	3388
3395	3405	3400
3405	3415	3410
3415	3421	3419
3421	3435	3429
3435	3447	3442
3447	3460	3455
3460	3472	3463
3472	3484	3479
3484	3493	3489
3493	3504	3496
3504	3511	3508
3511	3523	3514
3523	3539	3528
3539	3550	3544
3550	3559	3555
3559	3578	3568
3578	3587	3583
3587	3599	3595
3599	3605	3602
3605	3613	3608
3613	3619	3616
3619	3627	3623
3627	3638	3630
3638	3648	3643
3648	3659	3654
3659	3670	3666
3670	3681	3674
3681	3708	3688
3708	3722	3712
3722	3732	3727
3732	3746	3737
3746	3753	3749
3753	3766	3762
3766	3774	3771
3774	3787	3778
3787	3798	3794
3798	3812	3801
3812	3824	3815
3824	3838	3828
3838	3853	3843
3853	3860	3856
3860	3877	3866
3877	3890	3883
3890	3897	3893
3897	3908	3903
3908	3914	3911
3914	3923	3919
3923	3931	3927
3931	3938	3934
3938	3944	3942
3944	3952	3948
3952	3973	3961
3973	3983	3977
3983	4007	3988
4007	4016	4012
4016	4027	4021
4027	4034	4029
4034	4041	4038
4041	4052	4048
4052	4062	4056
4062	4074	4071
4074	4086	4077
4086	4098	4090
4098	4113	4107
4113	4123	4119
4123	4130	4126
