"start" "end"
"1" 25000 1775000
"2" 1775000 5675000
"3" 5675000 7175000
"4" 7175000 10825000
"5" 10825000 11875000
"6" 11875000 13175000
"7" 13175000 15675000
"8" 15675000 16825000
"9" 16825000 17925000
"10" 17925000 18525000
"11" 18525000 22525000
"12" 22525000 23975000
"13" 23975000 25975000
"14" 25975000 29125000
"15" 29125000 30425000
"16" 30425000 32075000
"17" 32075000 32725000
"18" 32725000 33925000
"19" 33925000 35475000
"20" 35475000 36975000
"21" 36975000 39975000
"22" 39975000 41025000
"23" 41025000 42575000
"24" 42575000 44075000
"25" 44075000 45875000
"26" 45875000 47625000
"27" 47625000 47925000
"28" 47925000 48775000
"29" 48775000 50775000
"30" 50775000 51925000
"31" 51925000 54075000
"32" 54075000 57825000
"33" 57825000 59075000
"34" 59075000 60875000
"35" 60875000 63075000
"36" 63075000 64075000
"37" 64075000 66725000
"38" 66725000 68375000
"39" 68375000 69675000
"40" 69675000 70475000
"41" 70475000 71325000
"42" 71325000 73525000
"43" 73525000 74725000
"44" 74725000 75875000
"45" 75875000 77025000
"46" 77025000 79225000
"47" 79225000 80225000
"48" 80225000 81525000
"49" 81525000 83525000
"50" 83525000 86375000
"51" 86375000 87625000
"52" 87625000 88975000
"53" 97925000 99125000
"54" 99125000 100025000
"55" 100025000 101225000
"56" 101225000 103375000
"57" 103375000 104575000
"58" 104575000 105725000
"59" 105725000 107175000
"60" 107175000 109325000
"61" 109325000 112625000
"62" 112625000 114275000
"63" 114275000 115925000
"64" 115925000 117275000
"65" 117275000 118625000
"66" 118625000 120225000
"67" 120225000 120975000
"68" 120975000 122475000
"69" 122475000 123675000
"70" 123675000 124775000
"71" 124775000 126425000
"72" 126425000 127775000
"73" 127775000 132975000
"74" 132975000 134575000
"75" 134575000 135675000
"76" 135675000 136625000
"77" 136625000 138625000
"78" 138625000 139625000
"79" 139625000 141675000
"80" 141675000 142875000
"81" 142875000 143925000
"82" 143925000 147475000
"83" 147475000 148725000
"84" 148725000 150375000
"85" 150375000 152275000
"86" 152275000 153525000
"87" 153525000 155225000
"88" 155225000 156225000
"89" 156225000 158175000
"90" 158175000 159675000
"91" 159675000 160825000
"92" 160825000 162075000
"93" 162075000 163125000
"94" 163125000 163975000
"95" 163975000 165475000
"96" 165475000 167275000
"97" 167275000 169025000
"98" 169025000 170275000
"99" 170275000 171825000
"100" 171825000 172325000
"101" 172325000 173575000
"102" 173575000 175375000
"103" 175375000 176975000
"104" 176975000 178775000
"105" 178775000 180825000
"106" 180825000 181975000
"107" 181975000 183975000
"108" 183975000 185325000
"109" 185325000 186125000
"110" 186125000 187475000
"111" 187475000 188325000
"112" 188325000 189425000
"113" 189425000 190475000
"114" 190475000 191825000
"115" 191825000 194625000
"116" 194625000 197675000
"117" 197675000 199125000
"118" 199125000 201825000
"119" 201825000 203275000
"120" 203275000 204825000
"121" 204825000 206875000
"122" 206875000 209075000
"123" 209075000 210275000
"124" 210275000 211325000
"125" 211325000 213475000
"126" 213475000 214125000
"127" 214125000 220525000
"128" 220525000 223625000
"129" 223625000 224825000
"130" 224825000 226475000
"131" 226475000 227875000
"132" 227875000 230675000
"133" 230675000 231775000
"134" 231775000 232425000
"135" 232425000 233475000
"136" 233475000 234325000
"137" 234325000 234775000
"138" 234775000 235475000
"139" 235475000 236025000
"140" 236025000 236725000
"141" 236725000 238725000
"142" 238725000 239125000
"143" 239125000 239975000
"144" 239975000 241075000
"145" 241075000 243125000
