Start	End	Cen
0	5	0
5	13	8
13	30	26
30	36	33
36	51	46
51	66	54
66	74	71
74	97	85
97	101	100
101	110	106
110	121	118
121	128	125
128	138	131
138	151	148
151	163	158
163	176	172
176	191	182
191	204	200
204	216	207
216	225	222
225	239	229
239	246	243
246	263	253
263	271	268
271	279	275
279	288	284
288	295	292
295	306	298
306	314	310
314	333	325
333	350	343
350	359	354
359	372	363
372	379	376
379	391	385
391	401	395
401	410	406
410	417	414
417	425	421
425	431	429
431	440	437
440	451	445
451	462	455
462	472	465
472	479	475
479	492	484
492	501	496
501	509	505
509	521	513
521	533	525
533	540	537
540	551	548
551	558	554
558	573	563
573	582	577
582	589	585
589	607	597
607	618	611
618	633	624
633	641	637
641	657	644
657	677	668
677	685	681
685	696	690
696	704	700
704	713	709
713	723	717
723	731	727
731	740	736
740	751	744
751	762	756
762	770	767
770	780	777
780	790	787
790	800	796
800	808	805
808	820	811
820	832	826
832	840	836
840	851	844
851	860	855
860	875	865
875	884	879
884	892	888
892	903	897
903	915	908
915	924	920
924	932	928
932	943	939
943	952	947
952	960	956
960	974	969
974	983	979
983	997	987
997	1007	1003
1007	1014	1010
1014	1033	1023
1033	1044	1041
1044	1053	1048
1053	1063	1055
1063	1068	1066
1068	1080	1076
1080	1098	1090
1098	1109	1105
1109	1117	1112
1117	1127	1121
1127	1140	1132
1140	1155	1149
1155	1179	1171
1179	1190	1187
1190	1207	1199
1207	1218	1211
1218	1225	1222
1225	1242	1238
1242	1253	1248
1253	1260	1256
1260	1275	1270
1275	1283	1279
1283	1296	1288
1296	1309	1299
1309	1316	1313
1316	1336	1327
1336	1349	1341
1349	1357	1353
1357	1365	1362
1365	1373	1369
1373	1384	1376
1384	1391	1387
1391	1401	1397
1401	1410	1405
1410	1417	1414
1417	1424	1421
1424	1435	1430
1435	1461	1444
1461	1469	1466
1469	1479	1474
1479	1496	1484
1496	1503	1500
1503	1518	1509
1518	1528	1523
1528	1536	1531
1536	1557	1547
1557	1570	1561
1570	1584	1578
1584	1602	1593
1602	1615	1612
1615	1630	1620
1630	1642	1634
1642	1656	1646
1656	1669	1661
1669	1680	1674
1680	1691	1687
1691	1702	1698
1702	1711	1708
1711	1717	1714
1717	1727	1723
1727	1733	1730
1733	1753	1741
1753	1761	1759
1761	1780	1773
1780	1793	1786
1793	1807	1801
1832	1846	1841
1906	1915	1911
1915	1932	1924
1932	1944	1935
1944	1959	1947
1959	1980	1972
1980	2002	1989
2002	2023	2012
2023	2031	2028
2031	2037	2034
2037	2049	2044
2049	2061	2054
2061	2068	2063
2068	2075	2073
2075	2091	2086
2091	2100	2096
2100	2109	2105
2109	2134	2126
2134	2144	2138
2144	2163	2154
2163	2169	2166
2169	2176	2173
2176	2187	2180
2187	2204	2198
2204	2210	2208
2216	2223	2219
2226	2243	2239
2243	2250	2246
2250	2257	2254
2257	2266	2260
2266	2275	2272
2275	2284	2281
2284	2294	2291
2294	2306	2301
2306	2318	2312
2318	2333	2323
2333	2344	2335
2344	2370	2360
2370	2392	2387
2392	2402	2397
2402	2419	2413
2419	2429	2424
2429	2436	2432
2436	2442	2439
2442	2450	2447
2450	2464	2459
2464	2472	2468
2472	2479	2477
2479	2485	2483
2485	2495	2490
2495	2511	2500
2511	2525	2521
2525	2539	2535
2539	2555	2543
2555	2572	2562
2572	2581	2574
2581	2589	2585
2589	2600	2594
2600	2613	2607
2613	2624	2618
2624	2637	2632
2637	2651	2646
2651	2659	2654
2659	2666	2664
2666	2678	2674
2678	2692	2683
2692	2703	2699
2703	2714	2709
2714	2730	2722
2730	2743	2738
2743	2752	2747
2752	2772	2761
2772	2782	2778
2782	2791	2787
2791	2810	2800
2810	2816	2813
2816	2825	2820
2825	2832	2828
2832	2846	2839
2846	2858	2850
2858	2867	2862
2867	2875	2871
2875	2886	2878
2886	2897	2890
2897	2913	2908
2913	2924	2920
2924	2930	2927
2930	2949	2937
2949	2962	2959
2962	2973	2968
2973	2985	2977
2985	2997	2989
2997	3008	3001
3008	3026	3016
3026	3046	3033
3046	3060	3054
3060	3071	3064
3071	3087	3083
3087	3105	3100
3105	3124	3116
3124	3138	3128
3138	3148	3140
3148	3161	3151
3161	3177	3174
3177	3192	3182
3192	3201	3197
3201	3217	3208
3217	3242	3232
3242	3263	3252
3263	3274	3269
3274	3280	3276
3280	3298	3293
3298	3310	3302
3310	3316	3313
3316	3324	3320
3324	3335	3328
3335	3347	3342
3347	3362	3352
3362	3379	3371
3379	3392	3388
3392	3406	3398
3406	3415	3410
3415	3424	3419
3424	3435	3429
3435	3446	3441
3446	3460	3456
3460	3467	3464
3467	3484	3479
3484	3493	3488
3493	3504	3501
3504	3523	3514
3523	3531	3527
3531	3539	3534
3539	3550	3544
3550	3560	3555
3560	3572	3568
3572	3586	3582
3586	3600	3596
3600	3619	3609
3619	3628	3625
3628	3638	3633
3638	3651	3643
3651	3660	3654
3660	3670	3665
3670	3682	3674
3682	3691	3688
3691	3699	3695
