chr	from.id	from.coord	to.id	to.coord	tag	size
chr2	1	0	6	300000	domain	300000
chr2	7	300000	13	650000	domain	350000
chr2	14	650000	30	1500000	domain	850000
chr2	31	1500000	37	1850000	domain	350000
chr2	38	1850000	67	3350000	domain	1500000
chr2	68	3350000	75	3750000	domain	400000
chr2	76	3750000	139	6950000	domain	3200000
chr2	140	6950000	145	7250000	domain	300000
chr2	146	7250000	151	7550000	domain	300000
chr2	152	7550000	177	8850000	domain	1300000
chr2	178	8850000	186	9300000	domain	450000
chr2	187	9300000	191	9550000	domain	250000
chr2	192	9550000	198	9900000	domain	350000
chr2	199	9900000	204	10200000	domain	300000
chr2	205	10200000	211	10550000	domain	350000
chr2	212	10550000	217	10850000	domain	300000
chr2	218	10850000	219	10950000	boundary	100000
chr2	220	10950000	226	11300000	domain	350000
chr2	227	11300000	232	11600000	domain	300000
chr2	233	11600000	236	11800000	domain	200000
chr2	237	11800000	239	11950000	boundary	150000
chr2	240	11950000	246	12300000	domain	350000
chr2	247	12300000	257	12850000	domain	550000
chr2	258	12850000	263	13150000	domain	300000
chr2	264	13150000	272	13600000	domain	450000
chr2	273	13600000	302	15100000	domain	1500000
chr2	303	15100000	306	15300000	domain	200000
chr2	307	15300000	315	15750000	domain	450000
chr2	316	15750000	334	16700000	domain	950000
chr2	335	16700000	339	16950000	domain	250000
chr2	340	16950000	350	17500000	domain	550000
chr2	351	17500000	358	17900000	domain	400000
chr2	359	17900000	367	18350000	domain	450000
chr2	368	18350000	372	18600000	domain	250000
chr2	373	18600000	380	19000000	domain	400000
chr2	381	19000000	391	19550000	domain	550000
chr2	392	19550000	402	20100000	domain	550000
chr2	403	20100000	411	20550000	domain	450000
chr2	412	20550000	417	20850000	domain	300000
chr2	418	20850000	425	21250000	domain	400000
chr2	426	21250000	472	23600000	domain	2350000
chr2	473	23600000	480	24000000	domain	400000
chr2	481	24000000	493	24650000	domain	650000
chr2	494	24650000	501	25050000	domain	400000
chr2	502	25050000	509	25450000	domain	400000
chr2	510	25450000	516	25800000	domain	350000
chr2	517	25800000	521	26050000	domain	250000
chr2	522	26050000	528	26400000	domain	350000
chr2	529	26400000	534	26700000	domain	300000
chr2	535	26700000	536	26800000	boundary	100000
chr2	537	26800000	540	27000000	domain	200000
chr2	541	27000000	545	27250000	domain	250000
chr2	546	27250000	552	27600000	domain	350000
chr2	553	27600000	558	27900000	domain	300000
chr2	559	27900000	574	28700000	domain	800000
chr2	575	28700000	583	29150000	domain	450000
chr2	584	29150000	589	29450000	domain	300000
chr2	590	29450000	601	30050000	domain	600000
chr2	602	30050000	608	30400000	domain	350000
chr2	609	30400000	619	30950000	domain	550000
chr2	620	30950000	628	31400000	domain	450000
chr2	629	31400000	634	31700000	domain	300000
chr2	635	31700000	641	32050000	domain	350000
chr2	642	32050000	657	32850000	domain	800000
chr2	658	32850000	665	33250000	domain	400000
chr2	666	33250000	677	33850000	domain	600000
chr2	678	33850000	685	34250000	domain	400000
chr2	686	34250000	731	36550000	domain	2300000
chr2	732	36550000	740	37000000	domain	450000
chr2	741	37000000	748	37400000	domain	400000
chr2	749	37400000	752	37600000	boundary	200000
chr2	753	37600000	762	38100000	domain	500000
chr2	763	38100000	770	38500000	domain	400000
chr2	771	38500000	776	38800000	domain	300000
chr2	777	38800000	782	39100000	domain	300000
chr2	783	39100000	790	39500000	domain	400000
chr2	791	39500000	800	40000000	domain	500000
chr2	801	40000000	809	40450000	domain	450000
chr2	810	40450000	821	41050000	domain	600000
chr2	822	41050000	841	42050000	domain	1000000
chr2	842	42050000	847	42350000	domain	300000
chr2	848	42350000	852	42600000	domain	250000
chr2	853	42600000	861	43050000	domain	450000
chr2	862	43050000	869	43450000	domain	400000
chr2	870	43450000	876	43800000	domain	350000
chr2	877	43800000	885	44250000	domain	450000
chr2	886	44250000	892	44600000	domain	350000
chr2	893	44600000	904	45200000	domain	600000
chr2	905	45200000	916	45800000	domain	600000
chr2	917	45800000	924	46200000	domain	400000
chr2	925	46200000	932	46600000	domain	400000
