chr	from.id	from.coord	to.id	to.coord	tag	size
chr2	1	0	13	650000	domain	650000
chr2	14	650000	37	1850000	domain	1200000
chr2	38	1850000	67	3350000	domain	1500000
chr2	68	3350000	75	3750000	domain	400000
chr2	76	3750000	123	6150000	domain	2400000
chr2	124	6150000	134	6700000	domain	550000
chr2	135	6700000	139	6950000	domain	250000
chr2	140	6950000	145	7250000	domain	300000
chr2	146	7250000	151	7550000	domain	300000
chr2	152	7550000	178	8900000	domain	1350000
chr2	179	8900000	186	9300000	domain	400000
chr2	187	9300000	191	9550000	domain	250000
chr2	192	9550000	198	9900000	domain	350000
chr2	199	9900000	205	10250000	domain	350000
chr2	206	10250000	212	10600000	domain	350000
chr2	213	10600000	217	10850000	domain	250000
chr2	218	10850000	219	10950000	boundary	100000
chr2	220	10950000	225	11250000	domain	300000
chr2	226	11250000	232	11600000	domain	350000
chr2	233	11600000	236	11800000	domain	200000
chr2	237	11800000	239	11950000	boundary	150000
chr2	240	11950000	257	12850000	domain	900000
chr2	258	12850000	264	13200000	domain	350000
chr2	265	13200000	306	15300000	domain	2100000
chr2	307	15300000	315	15750000	domain	450000
chr2	316	15750000	334	16700000	domain	950000
chr2	335	16700000	340	17000000	domain	300000
chr2	341	17000000	351	17550000	domain	550000
chr2	352	17550000	357	17850000	domain	300000
chr2	358	17850000	361	18050000	domain	200000
chr2	362	18050000	372	18600000	domain	550000
chr2	373	18600000	380	19000000	domain	400000
chr2	381	19000000	402	20100000	domain	1100000
chr2	403	20100000	411	20550000	domain	450000
chr2	412	20550000	417	20850000	domain	300000
chr2	418	20850000	425	21250000	domain	400000
chr2	426	21250000	432	21600000	domain	350000
chr2	433	21600000	451	22550000	domain	950000
chr2	452	22550000	462	23100000	domain	550000
chr2	463	23100000	468	23400000	domain	300000
chr2	469	23400000	479	23950000	domain	550000
chr2	480	23950000	489	24450000	domain	500000
chr2	490	24450000	493	24650000	domain	200000
chr2	494	24650000	501	25050000	domain	400000
chr2	502	25050000	509	25450000	domain	400000
chr2	510	25450000	518	25900000	domain	450000
chr2	519	25900000	522	26100000	boundary	200000
chr2	523	26100000	528	26400000	domain	300000
chr2	529	26400000	534	26700000	domain	300000
chr2	535	26700000	541	27050000	domain	350000
chr2	542	27050000	543	27150000	boundary	100000
chr2	544	27150000	551	27550000	domain	400000
