chr	from.id	from.coord	to.id	to.coord	tag	size
chr2	1	0	13	650000	domain	650000
chr2	14	650000	19	950000	domain	300000
chr2	20	950000	31	1550000	domain	600000
chr2	32	1550000	37	1850000	domain	300000
chr2	38	1850000	50	2500000	domain	650000
chr2	51	2500000	68	3400000	domain	900000
chr2	69	3400000	75	3750000	domain	350000
chr2	76	3750000	80	4000000	domain	250000
chr2	81	4000000	138	6900000	domain	2900000
chr2	139	6900000	145	7250000	domain	350000
chr2	146	7250000	158	7900000	domain	650000
chr2	159	7900000	172	8600000	domain	700000
chr2	173	8600000	178	8900000	domain	300000
chr2	179	8900000	185	9250000	domain	350000
chr2	186	9250000	192	9600000	domain	350000
chr2	193	9600000	199	9950000	domain	350000
chr2	200	9950000	205	10250000	domain	300000
chr2	206	10250000	212	10600000	domain	350000
chr2	213	10600000	217	10850000	domain	250000
chr2	218	10850000	225	11250000	domain	400000
chr2	226	11250000	232	11600000	domain	350000
chr2	233	11600000	239	11950000	boundary	350000
chr2	240	11950000	257	12850000	domain	900000
chr2	258	12850000	264	13200000	domain	350000
chr2	265	13200000	303	15150000	domain	1950000
chr2	304	15150000	306	15300000	boundary	150000
chr2	307	15300000	315	15750000	domain	450000
chr2	316	15750000	334	16700000	domain	950000
chr2	335	16700000	339	16950000	domain	250000
chr2	340	16950000	350	17500000	domain	550000
chr2	351	17500000	360	18000000	domain	500000
chr2	361	18000000	371	18550000	domain	550000
chr2	372	18550000	392	19600000	domain	1050000
chr2	393	19600000	397	19850000	domain	250000
chr2	398	19850000	402	20100000	domain	250000
chr2	403	20100000	411	20550000	domain	450000
chr2	412	20550000	417	20850000	domain	300000
chr2	418	20850000	425	21250000	domain	400000
chr2	426	21250000	433	21650000	domain	400000
chr2	434	21650000	469	23450000	domain	1800000
chr2	470	23450000	479	23950000	domain	500000
chr2	480	23950000	492	24600000	domain	650000
chr2	493	24600000	501	25050000	domain	450000
chr2	502	25050000	509	25450000	domain	400000
chr2	510	25450000	519	25950000	domain	500000
chr2	520	25950000	528	26400000	domain	450000
chr2	529	26400000	534	26700000	domain	300000
chr2	535	26700000	541	27050000	domain	350000
chr2	542	27050000	543	27150000	boundary	100000
chr2	544	27150000	552	27600000	domain	450000
chr2	553	27600000	558	27900000	domain	300000
chr2	559	27900000	574	28700000	domain	800000
chr2	575	28700000	581	29050000	domain	350000
chr2	582	29050000	583	29150000	boundary	100000
chr2	584	29150000	590	29500000	domain	350000
chr2	591	29500000	607	30350000	domain	850000
chr2	608	30350000	619	30950000	domain	600000
chr2	620	30950000	632	31600000	domain	650000
chr2	633	31600000	641	32050000	domain	450000
chr2	642	32050000	649	32450000	domain	400000
chr2	650	32450000	655	32750000	boundary	300000
chr2	656	32750000	660	33000000	boundary	250000
chr2	661	33000000	672	33600000	domain	600000
chr2	673	33600000	677	33850000	domain	250000
chr2	678	33850000	731	36550000	domain	2700000
chr2	732	36550000	740	37000000	domain	450000
chr2	741	37000000	747	37350000	domain	350000
chr2	748	37350000	752	37600000	domain	250000
chr2	753	37600000	762	38100000	domain	500000
chr2	763	38100000	770	38500000	domain	400000
chr2	771	38500000	775	38750000	domain	250000
chr2	776	38750000	781	39050000	domain	300000
chr2	782	39050000	790	39500000	domain	450000
chr2	791	39500000	801	40050000	domain	550000
chr2	802	40050000	841	42050000	domain	2000000
chr2	842	42050000	852	42600000	domain	550000
chr2	853	42600000	861	43050000	domain	450000
chr2	862	43050000	869	43450000	domain	400000
chr2	870	43450000	876	43800000	domain	350000
chr2	877	43800000	883	44150000	domain	350000
chr2	884	44150000	892	44600000	domain	450000
chr2	893	44600000	904	45200000	domain	600000
chr2	905	45200000	916	45800000	domain	600000
chr2	917	45800000	924	46200000	domain	400000
chr2	925	46200000	934	46700000	domain	500000
chr2	935	46700000	943	47150000	domain	450000
chr2	944	47150000	951	47550000	domain	400000
chr2	952	47550000	953	47650000	boundary	100000
chr2	954	47650000	960	48000000	domain	350000
chr2	961	48000000	967	48350000	domain	350000
chr2	968	48350000	976	48800000	domain	450000
chr2	977	48800000	983	49150000	domain	350000
chr2	984	49150000	1015	50750000	domain	1600000
chr2	1016	50750000	1074	53700000	domain	2950000
chr2	1075	53700000	1081	54050000	domain	350000
chr2	1082	54050000	1087	54350000	domain	300000
chr2	1088	54350000	1094	54700000	domain	350000
chr2	1095	54700000	1099	54950000	domain	250000
chr2	1100	54950000	1102	55100000	boundary	150000
chr2	1103	55100000	1109	55450000	domain	350000
chr2	1110	55450000	1118	55900000	domain	450000
chr2	1119	55900000	1128	56400000	domain	500000
chr2	1129	56400000	1158	57900000	domain	1500000
chr2	1159	57900000	1175	58750000	domain	850000
chr2	1176	58750000	1190	59500000	domain	750000
chr2	1191	59500000	1209	60450000	domain	950000
chr2	1210	60450000	1218	60900000	domain	450000
chr2	1219	60900000	1226	61300000	domain	400000
chr2	1227	61300000	1235	61750000	domain	450000
chr2	1236	61750000	1243	62150000	domain	400000
chr2	1244	62150000	1253	62650000	domain	500000
chr2	1254	62650000	1260	63000000	domain	350000
chr2	1261	63000000	1275	63750000	domain	750000
chr2	1276	63750000	1283	64150000	domain	400000
chr2	1284	64150000	1291	64550000	domain	400000
chr2	1292	64550000	1296	64800000	domain	250000
chr2	1297	64800000	1302	65100000	domain	300000
chr2	1303	65100000	1309	65450000	domain	350000
chr2	1310	65450000	1316	65800000	domain	350000
chr2	1317	65800000	1325	66250000	domain	450000
chr2	1326	66250000	1331	66550000	domain	300000
chr2	1332	66550000	1337	66850000	domain	300000
chr2	1338	66850000	1365	68250000	domain	1400000
chr2	1366	68250000	1374	68700000	domain	450000
