chr	from.id	from.coord	to.id	to.coord	tag	size
chr2	1	0	13	650000	domain	650000
chr2	14	650000	30	1500000	domain	850000
chr2	31	1500000	37	1850000	domain	350000
chr2	38	1850000	62	3100000	domain	1250000
chr2	63	3100000	75	3750000	domain	650000
chr2	76	3750000	97	4850000	domain	1100000
chr2	98	4850000	138	6900000	domain	2050000
chr2	139	6900000	145	7250000	domain	350000
chr2	146	7250000	177	8850000	domain	1600000
chr2	178	8850000	185	9250000	domain	400000
chr2	186	9250000	191	9550000	domain	300000
chr2	192	9550000	198	9900000	domain	350000
chr2	199	9900000	205	10250000	domain	350000
chr2	206	10250000	212	10600000	domain	350000
chr2	213	10600000	217	10850000	domain	250000
chr2	218	10850000	219	10950000	boundary	100000
chr2	220	10950000	225	11250000	domain	300000
chr2	226	11250000	232	11600000	domain	350000
chr2	233	11600000	236	11800000	domain	200000
chr2	237	11800000	239	11950000	boundary	150000
chr2	240	11950000	257	12850000	domain	900000
chr2	258	12850000	264	13200000	domain	350000
chr2	265	13200000	306	15300000	domain	2100000
chr2	307	15300000	315	15750000	domain	450000
chr2	316	15750000	322	16100000	domain	350000
chr2	323	16100000	333	16650000	domain	550000
chr2	334	16650000	340	17000000	domain	350000
chr2	341	17000000	351	17550000	domain	550000
chr2	352	17550000	353	17650000	boundary	100000
chr2	354	17650000	360	18000000	domain	350000
chr2	361	18000000	367	18350000	domain	350000
chr2	368	18350000	372	18600000	domain	250000
chr2	373	18600000	391	19550000	domain	950000
chr2	392	19550000	402	20100000	domain	550000
chr2	403	20100000	411	20550000	domain	450000
chr2	412	20550000	417	20850000	domain	300000
chr2	418	20850000	425	21250000	domain	400000
chr2	426	21250000	431	21550000	domain	300000
chr2	432	21550000	470	23500000	domain	1950000
chr2	471	23500000	479	23950000	domain	450000
chr2	480	23950000	488	24400000	domain	450000
chr2	489	24400000	493	24650000	domain	250000
chr2	494	24650000	501	25050000	domain	400000
chr2	502	25050000	509	25450000	domain	400000
chr2	510	25450000	516	25800000	domain	350000
chr2	517	25800000	522	26100000	boundary	300000
chr2	523	26100000	529	26450000	domain	350000
chr2	530	26450000	532	26600000	boundary	150000
chr2	533	26600000	541	27050000	domain	450000
chr2	542	27050000	545	27250000	domain	200000
chr2	546	27250000	552	27600000	domain	350000
chr2	553	27600000	558	27900000	domain	300000
chr2	559	27900000	574	28700000	domain	800000
chr2	575	28700000	583	29150000	domain	450000
chr2	584	29150000	591	29550000	domain	400000
chr2	592	29550000	607	30350000	domain	800000
chr2	608	30350000	619	30950000	domain	600000
chr2	620	30950000	627	31350000	domain	400000
