chr	from.id	from.coord	to.id	to.coord	tag	size
chr2	1	0	13	650000	domain	650000
chr2	14	650000	31	1550000	domain	900000
chr2	32	1550000	37	1850000	domain	300000
chr2	38	1850000	63	3150000	domain	1300000
chr2	64	3150000	67	3350000	domain	200000
chr2	68	3350000	75	3750000	domain	400000
chr2	76	3750000	122	6100000	domain	2350000
chr2	123	6100000	129	6450000	domain	350000
chr2	130	6450000	140	7000000	domain	550000
chr2	141	7000000	178	8900000	domain	1900000
chr2	179	8900000	186	9300000	domain	400000
chr2	187	9300000	192	9600000	domain	300000
chr2	193	9600000	199	9950000	domain	350000
chr2	200	9950000	205	10250000	domain	300000
chr2	206	10250000	211	10550000	domain	300000
chr2	212	10550000	217	10850000	domain	300000
chr2	218	10850000	219	10950000	boundary	100000
chr2	220	10950000	226	11300000	domain	350000
chr2	227	11300000	232	11600000	domain	300000
chr2	233	11600000	239	11950000	domain	350000
chr2	240	11950000	257	12850000	domain	900000
chr2	258	12850000	264	13200000	domain	350000
chr2	265	13200000	315	15750000	domain	2550000
chr2	316	15750000	333	16650000	domain	900000
chr2	334	16650000	340	17000000	domain	350000
chr2	341	17000000	359	17950000	domain	950000
chr2	360	17950000	371	18550000	domain	600000
chr2	372	18550000	379	18950000	domain	400000
chr2	380	18950000	391	19550000	domain	600000
chr2	392	19550000	402	20100000	domain	550000
chr2	403	20100000	411	20550000	domain	450000
chr2	412	20550000	417	20850000	domain	300000
chr2	418	20850000	425	21250000	domain	400000
chr2	426	21250000	468	23400000	domain	2150000
chr2	469	23400000	480	24000000	domain	600000
chr2	481	24000000	486	24300000	domain	300000
chr2	487	24300000	492	24600000	domain	300000
chr2	493	24600000	501	25050000	domain	450000
chr2	502	25050000	509	25450000	domain	400000
chr2	510	25450000	521	26050000	domain	600000
chr2	522	26050000	528	26400000	domain	350000
chr2	529	26400000	541	27050000	domain	650000
chr2	542	27050000	545	27250000	domain	200000
chr2	546	27250000	552	27600000	domain	350000
chr2	553	27600000	558	27900000	domain	300000
chr2	559	27900000	573	28650000	domain	750000
chr2	574	28650000	583	29150000	domain	500000
chr2	584	29150000	589	29450000	domain	300000
chr2	590	29450000	607	30350000	domain	900000
chr2	608	30350000	619	30950000	domain	600000
chr2	620	30950000	628	31400000	domain	450000
chr2	629	31400000	635	31750000	domain	350000
chr2	636	31750000	641	32050000	domain	300000
chr2	642	32050000	648	32400000	domain	350000
chr2	649	32400000	657	32850000	boundary	450000
chr2	658	32850000	670	33500000	domain	650000
chr2	671	33500000	677	33850000	domain	350000
chr2	678	33850000	731	36550000	domain	2700000
chr2	732	36550000	738	36900000	domain	350000
chr2	739	36900000	746	37300000	domain	400000
chr2	747	37300000	752	37600000	boundary	300000
chr2	753	37600000	763	38150000	domain	550000
chr2	764	38150000	770	38500000	domain	350000
chr2	771	38500000	776	38800000	domain	300000
chr2	777	38800000	780	39000000	domain	200000
chr2	781	39000000	790	39500000	domain	500000
chr2	791	39500000	802	40100000	domain	600000
chr2	803	40100000	814	40700000	domain	600000
chr2	815	40700000	821	41050000	domain	350000
chr2	822	41050000	841	42050000	domain	1000000
chr2	842	42050000	846	42300000	domain	250000
chr2	847	42300000	852	42600000	domain	300000
chr2	853	42600000	861	43050000	domain	450000
chr2	862	43050000	869	43450000	domain	400000
chr2	870	43450000	876	43800000	domain	350000
chr2	877	43800000	885	44250000	domain	450000
chr2	886	44250000	892	44600000	domain	350000
chr2	893	44600000	904	45200000	domain	600000
chr2	905	45200000	916	45800000	domain	600000
chr2	917	45800000	924	46200000	domain	400000
chr2	925	46200000	932	46600000	domain	400000
chr2	933	46600000	934	46700000	boundary	100000
chr2	935	46700000	937	46850000	domain	150000
chr2	938	46850000	943	47150000	domain	300000
chr2	944	47150000	951	47550000	domain	400000
chr2	952	47550000	953	47650000	boundary	100000
chr2	954	47650000	960	48000000	domain	350000
chr2	961	48000000	967	48350000	domain	350000
chr2	968	48350000	974	48700000	domain	350000
chr2	975	48700000	976	48800000	boundary	100000
chr2	977	48800000	984	49200000	domain	400000
chr2	985	49200000	1014	50700000	domain	1500000
chr2	1015	50700000	1080	54000000	domain	3300000
chr2	1081	54000000	1087	54350000	domain	350000
chr2	1088	54350000	1099	54950000	domain	600000
chr2	1100	54950000	1102	55100000	boundary	150000
chr2	1103	55100000	1109	55450000	domain	350000
chr2	1110	55450000	1117	55850000	domain	400000
chr2	1118	55850000	1128	56400000	domain	550000
chr2	1129	56400000	1158	57900000	domain	1500000
chr2	1159	57900000	1170	58500000	domain	600000
chr2	1171	58500000	1218	60900000	domain	2400000
chr2	1219	60900000	1225	61250000	domain	350000
chr2	1226	61250000	1235	61750000	domain	500000
chr2	1236	61750000	1242	62100000	domain	350000
chr2	1243	62100000	1253	62650000	domain	550000
chr2	1254	62650000	1260	63000000	domain	350000
chr2	1261	63000000	1266	63300000	domain	300000
chr2	1267	63300000	1276	63800000	domain	500000
chr2	1277	63800000	1285	64250000	domain	450000
chr2	1286	64250000	1291	64550000	domain	300000
chr2	1292	64550000	1296	64800000	domain	250000
chr2	1297	64800000	1302	65100000	domain	300000
chr2	1303	65100000	1309	65450000	domain	350000
chr2	1310	65450000	1316	65800000	domain	350000
chr2	1317	65800000	1333	66650000	domain	850000
chr2	1334	66650000	1349	67450000	domain	800000
chr2	1350	67450000	1358	67900000	domain	450000
chr2	1359	67900000	1366	68300000	domain	400000
chr2	1367	68300000	1374	68700000	domain	400000
chr2	1375	68700000	1383	69150000	domain	450000
chr2	1384	69150000	1391	69550000	domain	400000
chr2	1392	69550000	1399	69950000	domain	400000
chr2	1400	69950000	1402	70100000	boundary	150000
chr2	1403	70100000	1410	70500000	domain	400000
chr2	1411	70500000	1421	71050000	domain	550000
chr2	1422	71050000	1425	71250000	boundary	200000
chr2	1426	71250000	1435	71750000	domain	500000
chr2	1436	71750000	1448	72400000	domain	650000
chr2	1449	72400000	1460	73000000	domain	600000
chr2	1461	73000000	1462	73100000	boundary	100000
chr2	1463	73100000	1470	73500000	domain	400000
chr2	1471	73500000	1479	73950000	domain	450000
chr2	1480	73950000	1489	74450000	domain	500000
chr2	1490	74450000	1494	74700000	domain	250000
chr2	1495	74700000	1497	74850000	boundary	150000
chr2	1498	74850000	1503	75150000	domain	300000
chr2	1504	75150000	1513	75650000	domain	500000
chr2	1514	75650000	1519	75950000	domain	300000
chr2	1520	75950000	1603	80150000	domain	4200000
chr2	1604	80150000	1610	80500000	domain	350000
chr2	1611	80500000	1617	80850000	domain	350000
chr2	1618	80850000	1670	83500000	domain	2650000
chr2	1671	83500000	1683	84150000	domain	650000
chr2	1684	84150000	1693	84650000	domain	500000
chr2	1694	84650000	1703	85150000	domain	500000
chr2	1704	85150000	1711	85550000	domain	400000
chr2	1712	85550000	1717	85850000	domain	300000
chr2	1718	85850000	1721	86050000	domain	200000
chr2	1722	86050000	1728	86400000	domain	350000
chr2	1729	86400000	1733	86650000	domain	250000
chr2	1734	86650000	1739	86950000	domain	300000
chr2	1740	86950000	1743	87150000	domain	200000
chr2	1744	87150000	1745	87250000	gap	100000
chr2	1746	87250000	1749	87450000	domain	200000
chr2	1750	87450000	1752	87600000	domain	150000
chr2	1753	87600000	1754	87700000	gap	100000
chr2	1755	87700000	1756	87800000	domain	100000
chr2	1757	87800000	1761	88050000	domain	250000
chr2	1762	88050000	1763	88150000	gap	100000
chr2	1764	88150000	1770	88500000	domain	350000
chr2	1771	88500000	1776	88800000	domain	300000
chr2	1777	88800000	1780	89000000	domain	200000
chr2	1781	89000000	1793	89650000	domain	650000
chr2	1794	89650000	1796	89800000	gap	150000
chr2	1797	89800000	1806	90300000	domain	500000
chr2	1807	90300000	1832	91600000	gap	1300000
chr2	1833	91600000	1847	92350000	domain	750000
chr2	1848	92350000	1906	95300000	gap	2950000
chr2	1907	95300000	1920	96000000	domain	700000
chr2	1921	96000000	1929	96450000	domain	450000
chr2	1930	96450000	1931	96550000	domain	100000
chr2	1932	96550000	1933	96650000	boundary	100000
chr2	1934	96650000	1939	96950000	domain	300000
chr2	1940	96950000	1941	97050000	boundary	100000
chr2	1942	97050000	1944	97200000	domain	150000
chr2	1945	97200000	1950	97500000	domain	300000
chr2	1951	97500000	1956	97800000	domain	300000
chr2	1957	97800000	1958	97900000	domain	100000
chr2	1959	97900000	1963	98150000	gap	250000
chr2	1964	98150000	1967	98350000	domain	200000
chr2	1968	98350000	1980	99000000	domain	650000
chr2	1981	99000000	1985	99250000	domain	250000
chr2	1986	99250000	1995	99750000	domain	500000
chr2	1996	99750000	2003	100150000	domain	400000
chr2	2004	100150000	2017	100850000	domain	700000
chr2	2018	100850000	2021	101050000	boundary	200000
chr2	2022	101050000	2024	101200000	domain	150000
chr2	2025	101200000	2032	101600000	domain	400000
chr2	2033	101600000	2037	101850000	domain	250000
chr2	2038	101850000	2050	102500000	domain	650000
chr2	2051	102500000	2062	103100000	domain	600000
chr2	2063	103100000	2070	103500000	domain	400000
chr2	2071	103500000	2109	105450000	domain	1950000
chr2	2110	105450000	2119	105950000	domain	500000
chr2	2120	105950000	2124	106200000	domain	250000
